"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"start_date"	"category"
"Capital Reporting Manager - Life"	"GBP"	"London"	"Permanent"	"Capital Reporting Manager - Life"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Are you a qualified life actuary with a passion for capital reporting? Do you have a good understanding of asset modelling and investment markets? Would you relish the opportunity to make a difference within a major insurer? Then this is the role for you. In this key position, you will lead our client's Solvency II capital reporting team, providing the delivery and commentary of the Solvency II and economic capital requirements including SII operating variances, interest rate exposure, inflation exposure and FX exposure and overall capital position of the firm. You will also present and disseminate Solvency II reporting results, incorporating specialist supporting analysis and commentary for reporting metrics. In addition, you will provide strategic direction for the team's capital reporting systems, processes and methodologies and take responsibility for reviewing process flows and wastage. Annuities experience would be an advantage. An excellent opportunity to develop your career within a market-leader. "	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82548/592939075"	"02/12/2018 07:45:52"	"http://www.jobserve.com/GlDCw"	NA	NA
"Senior GI Pricing Analyst"	"GBP"	"South East"	"Permanent"	"Senior GI Pricing Analyst"	"South East - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Major insurer is seeking a part-qualified non-life actuary to join their team as a senior pricing analyst where you will play a key role in helping to develop new pricing approaches for the Commercial Lines business. You'll help develop and exploit new data sources, undertake pricing reviews and embed new portfolio monitoring capabilities. In addition, you'll play a lead role in identifying emerging trends, testing pricing strategies and improving the way our client works, taking responsibility for providing training and direction to analysts within the team. Proven professional experience using data analysis tools including Excel/VBA & SAS (Enterprise Guide and/or Base) is required. Experience of pricing tools such as Emblem and Radar Base is an advantage.  "	"South East, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82432/592938224"	"01/12/2018 14:32:11"	"http://www.jobserve.com/Gk5AP"	NA	NA
"Head of Risk Pricing - Life"	"GBP"	"London"	"Permanent"	"Head of Risk Pricing - Life"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Major insurer is seeking a qualified life actuary with strong interpersonal skills to develop and deliver experience investigations, assumptions setting and methodology to enable the retail protection business to meet its business goals. In this newly-created role, you will demonstrate your creative analytical thinking by using market insight, internal MI and views gathered from experts in multiple disciplines in Retail Protection to develop an in-depth understanding of Lour client's performance in the UK Protection market. You will also provide thought leadership on, develop and deliver advanced analytical techniques into existing demographic and financial experience investigations and pricing processes. In addition, you will play a key role in the assessment of risk management processes to ensure that they are continually refined and improved. The successful candidate will have the ability to interpret the results of experience investigations, and be able to develop and refine the pricing and reporting assumptions (including calibrations for the internal model). An excellent career-development opportunity. "	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82582/592938425"	"01/12/2018 14:30:49"	"http://www.jobserve.com/Gk48H"	NA	NA
"Head of Reserving"	"GBP"	"London"	"Permanent"	"Head of Reserving"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"This client is searching for a senior Actuary for nine months to cover their Head of Reserving. This candidate should have a strong reserving background and be comfortable defending the reserves to Non Actuaries both internally and externally. Strong communication skills are vital. "	"London, UK"	"Other"	NA	"GBP"	"HFG"	"HFG"	"JS7286_83965/594974300"	"03/12/2018 16:36:08"	"http://www.jobserve.com/GlRcK"	NA	NA
"Non-life Pricing Analyst"	"GBP"	"Midlands"	"Permanent"	"Non-life Pricing Analyst"	"Midlands - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Major general insurer is seeking a part-qualified GI actuary to support various elements of insurance pricing, conducting complex pricing analyses, for example, root cause, predictiveness and performance testing.Extracting, checking, cleaning and analysing data for use in the pricing models, you will report outcomes of the analyses to enable continuous improvement of data and models.You will also refine and operate models and reporting results to enable the team to make business decisions whilst developing rating logic to ensure effective pricing outcomes.In addition, you will carry out quality control processes and checks on pricing models and data to ensure they deliver the outputs required.With strong analytical and problem-solving skills, the successful candidate will possess experience of pricing general insurance products.SQL, EMBLEM or RADAR skills also required.An exciting career-development opportunity."	"Midlands, UK"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4918/593978680"	"03/12/2018 15:16:22"	"http://www.jobserve.com/GlQaY"	NA	NA
"Life Consultant - London"	"GBP"	"London"	"Permanent"	"Life Consultant - London"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Leading consultancy has an unrivalled opportunity for a part-qualified life actuary to apply their skills in projects reaching beyond traditional actuarial boundaries.Providing support for a wide variety of assignments, you will be exposed to workstreams as diverse as: Solvency II, Finance Transformation, Mergers & Acquisitions, Capital Management, Reserving, Actuarial modelling, Embedded value, Audit and IFRS. In this client-facing role, you will also a ctively contribute to a wide range of client projects of a technical actuarial nature whilst also contributing to practice management.Good knowledge of the life industry alongside t he ability to apply your knowledge in practical and commercial situations is essential. An exciting opportunity to develop your career by providing support for cutting edge actuarial work in a strategic, consulting and transactional context."	"London, UK"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4727/593978647"	"03/12/2018 14:14:13"	"http://www.jobserve.com/GlPwp"	NA	NA
"Capital & Reserving Senior Analyst"	"GBP"	"London"	"Permanent"	"Capital & Reserving Senior Analyst"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Our client is seeking a part-qualified non-life actuary to assist in the development, maintenance, calibration and embedding of risk-adjusted financial models, and provision of a second line of defence on all P&C risk activities. In this varied and interesting role, you will gain exposure to Internal Model work across personal and commercial lines, take the lead on second line review work from an insurance risk perspective, and provide opinion on reserve recommendations. You will also support Senior Managers in the preparation and presentation of results of Capital and Reserving exercises to senior stakeholders. You will likely be a part-qualified actuary with experience across insurance risk, capital or reserving. Working knowledge of Remetrica or ResQ would be advantageous, though is not essential. As well as your technical experience, you will demonstrate strong stakeholder management, excellent written and verbal communication skills, and a proven ability to work accurately under pressure."	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_83976/592939100"	"01/12/2018 14:33:18"	"http://www.jobserve.com/Gk5CF"	NA	NA
"Non-life Pricing Analyst"	"GBP"	"Midlands"	"Permanent"	"Non-life Pricing Analyst"	"Midlands - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Major general insurer is seeking a part-qualified GI actuary to support various elements of insurance pricing, conducting complex pricing analyses, for example, root cause, predictiveness and performance testing. Extracting, checking, cleaning and analysing data for use in the pricing models, you will report outcomes of the analyses to enable continuous improvement of data and models. You will also refine and operate models and reporting results to enable the team to make business decisions whilst developing rating logic to ensure effective pricing outcomes. In addition, you will carry out quality control processes and checks on pricing models and data to ensure they deliver the outputs required. With strong analytical and problem-solving skills, the successful candidate will possess experience of pricing general insurance products. SQL, EMBLEM or RADAR skills also required. An exciting career-development opportunity."	"Midlands, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82591/592938593"	"01/12/2018 14:14:20"	"http://www.jobserve.com/Gk4g4"	NA	NA
"Non-Life Pricing Analyst"	"GBP"	"United Kingdom"	"Permanent"	"Non-Life Pricing Analyst"	"United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"An ideal role for an actuarial student looking for a long-term move into a pricing-focused role on their path to Fellowship.You will receive valuable mentorship from more senior actuaries in the team, whilst being offered excellent exposure to the growing business.Any experience within personal lines will be useful, whilst a good grasp of SQL and Excel is a must. Experience with Emblem and Radar will be helpful too.Contact us now for more details on this special opportunity."	"United Kingdom"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5248/593978883"	"03/12/2018 15:13:59"	"http://www.jobserve.com/GlQYg"	NA	NA
"London Market Pricing Analyst"	"GBP"	"London"	"Permanent"	"London Market Pricing Analyst"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"A Lloyd's market insurance company is seeking a part-qualified actuary to join their pricing team.  Working on areas such as individual case pricing, portfolio analysis, model development, optimisation and model parameterisation; this is a role that will provide excellent exposure to the underwriting section of this business. You will have opportunities to engage with the capital team and assist with reserving as needed.  You will be making good progress with the actuarial exams, have non-life experience and be interested in pricing. Your non-life experience could come from the London market, personal/smaller commercial lines, consultancy, broking etc. Pricing experience across any business lines would be useful, but those who can learn new concepts quickly from reserving or capital are encouraged to apply.  "	"London, UK"	"Finance"	NA	"GBP"	"Arthur Financial"	"Arthur Financial"	"JS7286_84997/592939057"	"02/12/2018 07:45:38"	"http://www.jobserve.com/GlDCe"	NA	NA
"Head of Reserving - Non-life"	"GBP"	"London"	"Permanent"	"Head of Reserving - Non-life"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Leading London Market managing agency has a fantastic opportunity for a qualified non-life actuary with extensive Lloyd's reserving experience to manage the reserving workstream of the actuarial function and oversee future development under Solvency II.With detailed knowledge of Solvency II regulations and developments alongside excellent interpersonal and people management skills, the successful candidate will possess advanced knowledge of VBA, ResQ and SQL, alongside MS packages.Contact us now for more information on this exciting leadership position."	"London, UK"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5312/593978944"	"03/12/2018 14:20:40"	"http://www.jobserve.com/GlP1q"	NA	NA
"Reserving Analyst - Supporting the Head of Department"	"GBP"	"London"	"Permanent"	"Reserving Analyst - Supporting the Head of Department"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Fairbank Partners are currently working with a leading insurer to locate a Part-Qualified Actuary to join their Reserving team.  The opportunity: Provide actuarial analysis to support the assessment of claims reserves Join a leading insurer in the general insurance market Support the Head of Department in ensuring key controls are exercised to mitigate risks Produce timely and accurate actuarial management information Excellent actuarial study support The individual: Part-Qualified Actuary with experience in general insurance work Good knowledge of IT skills including experience using SAS Ability to work under pressure with strong attention to detail"	"London, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82280/592938895"	"02/12/2018 07:45:16"	"http://www.jobserve.com/GlDCK"	NA	NA
"Lead Analyst - Pricing (Life)"	"GBP"	"London"	"Permanent"	"Lead Analyst - Pricing (Life)"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Our client is seeking a part-qualified or qualified life actuary with knowledge of capital management and investments to support the pricing of the Group's current product portfolio and also to assist in the development of new products. In this key role, you will provide support in developing, calibrating and documenting assumption methodologies and parameters, including minimum pricing parameters. In addition, you will assist with maintaining up-to-date pricing frameworks for all products, and reviewing the pricing approach for new products and assessing relevant risk exposures to the group. With pricing & products understanding, the successful candidate will possess strong analytical and modelling skills. Skills in Mo.NET, Moses and Access/SQL experience advantageous. "	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85033/592938915"	"02/12/2018 07:13:22"	"http://www.jobserve.com/GlCcD"	NA	NA
"Insurance Risk Analyst"	"GBP"	"South East"	"Permanent"	"Insurance Risk Analyst"	"South East - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"An international insurance group is looking to hire an ambitious actuarial analyst with hands-on Solvency II and insurance risk experience. Experience of modelling, as well as data transformation, manipulation and validation will be helpful. SAS, SQL and Access will also be an advantage in this role. "	"South East, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82383/592938617"	"02/12/2018 07:13:21"	"http://www.jobserve.com/GlCcB"	NA	NA
"Head of Methodology and Assumptions"	"GBP"	"London"	"Permanent"	"Head of Methodology and Assumptions"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"This is an excellent opportunity for a Qualified Actuary to join as a brand new Head of Methodology and Assumptions. You will be a key contact in the communication between the Risk and Finance teams, This team will be responsible for reviewing data from the Risk team and proposing and implementing changes to financial assumptions, You will also play an important role in any new transformation or transactions work, The ideal candidate will be a Qualified Actuary with a Life Insurance background, Methodology & assumptions setting experience would be highly advantageous Any market or credit risk experience would also be useful, "	"London, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82529/592939032"	"01/12/2018 14:26:43"	"http://www.jobserve.com/Gk412"	NA	NA
"Capital Modeller - London Market"	"GBP"	"London"	"Permanent"	"Capital Modeller - London Market"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Leading provider of London Market solutions seeks a part-qualified non-life actuary to develop and maintain the syndicate's ReMetrica Capital model and the related IT infrastructure. Supporting the Internal Model structure including individual risk models and aggregation models, you will assist in developing the model, output review and preparation of management information. You will also ssist in the regular parameterisation and validation of the model, collecting data whilst updating for input data and assumptions, modelling and reporting. In addition, you will engage the business in promoting the use of the capital modelling throughout the company including assisting in running scenarios to optimise business planning and future reinsurance purchase. A general understanding of capital modelling is required whilse experience of model building and capital modelling techniques is advantageous.  "	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82858/592938986"	"01/12/2018 14:11:12"	"http://www.jobserve.com/Gk4bA"	NA	NA
"Pricing Analyst, Central London"	"GBP"	"London"	"Permanent"	"Pricing Analyst, Central London"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Fairbank Partners are working with a leading P&C insurer to source a Part-Qualified Actuary to join their Pricing team. The opportunity: Assist in optimising the performance of the portfolio through regular analysis of Experience Provide actuarial support for regulatory reporting Work alongside underwriters Very business facing, with high exposure to senior stakeholders Monthly peer reviews of Actuarial Pricing metrics The individual: Part-Qualified Actuary with relevant GI Pricing experience Strong IT skills Excellent communication skills Experience in A&H is an advantage"	"London, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85030/592938917"	"02/12/2018 07:45:29"	"http://www.jobserve.com/GlDCZ"	NA	NA
"Senior Capital Analyst"	"GBP"	"London"	"Permanent"	"Senior Capital Analyst"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"A reputable Lloyd's syndicate is searching for a part qualified senior actuarial analyst to join their Capital Modelling team.Responsibilities of this role include analysing, developing and maintaining the syndicate's Capital Models, as well as management information, keeping the models in line with SII requirements. The candidate must be a proactive individual, able to develop reports. They must have excellent communication skills, often liaising with Senior Management and Stakeholders.The candidate must be a graduate in a numerate discipline and preferably a part-qualified actuary, with basic VBA skills. At least 2-3 years' experience is required within the Capital Modelling industry. The candidate must have experience in using Igloo.Eames Consulting is acting as an Employment Agency in relation to this vacancy. "	"London, UK"	"Finance"	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_84989/592938980"	"01/12/2018 14:32:04"	"http://www.jobserve.com/Gk5AG"	NA	"Graduate"
"Specialist Motor Pricing Analyst"	"GBP"	"London"	"Permanent"	"Specialist Motor Pricing Analyst"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Fairbank Partners are working with a specialist General Insurer to source a Part Qualified Actuary or Pricing Analyst to join the Motor Pricing team across Retail and Commercial lines.  The opportunity: Use new actuarial and data science techniques to improve pricing models Liaise with other departments to ensure pricing meets its aims Role has come around due to team growth The individual: Part Qualified Actuary Strong knowledge of Emblem Prior experience in pricing is necessary "	"London, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82528/592938207"	"01/12/2018 14:16:36"	"http://www.jobserve.com/Gk4k3"	NA	NA
"Sales in Risk"	"£ dependent upon experience GBP"	"London"	"Permanent"	"Sales in Risk"	"London - £ dependent upon experience GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Seeking an experienced, business savvy consultant/sales person with IFRS17 experience and actuarial knowledge (you do not need to have taken the exams) to take on a sales role in risk consulting."	"London, UK"	"Sales and Marketing"	NA	"£ dependent upon experience GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS3562_197434/592930835"	"01/12/2018 14:14:31"	"http://www.jobserve.com/Gk4hT"	NA	NA
"Capital Analyst - IGLOO"	"GBP"	"London"	"Permanent"	"Capital Analyst - IGLOO"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Capital Analyst (Igloo) A leading Lloyd's of London Syndicate are seeking an actuarial analyst to join their market leading Capital team. The focus of the successful candidate will be to assist with the maintenance and development of the internal model as well as running high speed simulations. A number of duties include: - Parameterisation of the internal model. - Work closely alongside all areas of the business. - Interpreting results and producing reports to the key members of the business. - Developing and running the internal model to meet both business needs and external requirements. - Preparation and submission of Lloyd's capital return and with the PRA and Lloyd's for the Economic Capital Assessment. - Group level model runs. - Assisting the internal model validation team. - Maintain documentation.From you they are looking for: - 1-3+ Years of experience in capital modelling (IGLOO). - Igloo coding experience. - Excellent problem solving and analytical skills. - Aptitude for coding and a keen eye for detail. - Ability to simplify key information and present it to stakeholders. - A good team player as well as self starter. - Programming language would be useful. - Solvency ii and Lloyd's experience. "	"London, UK"	"Other"	NA	"GBP"	"HFG"	"HFG"	"JS7286_83901/594974305"	"03/12/2018 16:37:03"	"http://www.jobserve.com/GlRc1"	NA	NA
"Reserving Analyst"	"GBP"	"United Kingdom"	"Permanent"	"Reserving Analyst"	"United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"A hands-on role in an international insurance business for an actuarial candidate with extensive experience of claims reserving. You will have a good handle of modelling and analysis work, with a track record of producing quality documentation. Familiarity with SAS, SQL, Excel and VBA will be essential for success in the role. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Lance Randles, Partner M: (0)  E:  "	"United Kingdom"	"Other"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82241/592938268"	"03/12/2018 15:16:04"	"http://www.jobserve.com/GlQaD"	NA	NA
"Work for a Global Insurer on their IFRS17 - Risk Managerial Role"	"GBP"	"London"	"Permanent"	"Work for a Global Insurer on their IFRS17 - Risk Managerial Role"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Fairbank Partners are assisting a Global insurer in their search for a senior qualified actuary to join their team working on IFRS17 in the Risk sector. In this role you will be responsible for driving the implementation of the actuarial aspects of IFRS17 on behalf of the Insurer's Chief Actuary. The Opportunity: Be given autonomy to make decisions for the business in regards to IFRS17. Work on a new accounting standard that is the cutting edge of actuarial analysis. Establish yourself and be known as the go-to expert in the new accounting standard. Work closely with stakeholders and senior managers and established clients. Advance your skills and challenge your capabilities in the actuarial field. Ideal Candidate: Significant Post-Qualified Experience A background in Risk Previous stakeholder and managerial experience Proven track record of success  To discuss this role further, or to discuss your career options please submit your CV or contact Jessica Hay at Fairbank Partners on . Fairbank Partners have access to a wide range of actuarial jobs and acts as an employment agency.  "	"London, UK"	"Other"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85243/594974241"	"03/12/2018 14:02:44"	"http://www.jobserve.com/GlPoO"	NA	NA
"Reserving Analyst - International Insurer"	"GBP"	"London"	"Permanent"	"Reserving Analyst - International Insurer"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Fairbank Partners are working with a Commercial Lines Insurer to recruit a Part-Qualified Actuary to join their Reserving team. The opportunity:  Provide support to on-going reserving and finance related projects Support communication of reserve review results to senior management Assist with the production of reports and quarterly reserving meetings Improve reserving and SII modelling processes through the development of automated tools International insurer - opportunity to potentially move to other offices The individual: Reasonable exam progress (all CT's completed) Good knowledge of GI Reserving Preferred experience in ResQ Knowledge of regulations (SII, IFRS) "	"London, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85109/592939013"	"02/12/2018 07:45:16"	"http://www.jobserve.com/GlDCI"	NA	NA
"Big 4 Assistant Manager"	"GBP"	"London"	"Permanent"	"Big 4 Assistant Manager"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Fairbank Partners are working with a leading consultancy to source a Part Qualified Actuary to join as Assistant Manager.  The opportunity:  Provide technical input to a number of projects Support senior management when required Take part in reserving, capital and pricing projects Draft reports and presentations Meet a variety of clients across the London Market The individual: Part Qualified Actuary with strong exam progress (all CT's passed) At least 3 years' experience in General Insurance Good communication skills Excellent stakeholder management skills  "	"London, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85023/592938356"	"02/12/2018 07:13:08"	"http://www.jobserve.com/GlCbw"	NA	NA
"Senior GI Pricing Analyst"	"GBP"	"London"	"Permanent"	"Senior GI Pricing Analyst"	"London - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Major insurer has an exciting vacancy for a part-qualified or qualified non-life actuary with experience in P&C pricing to build best practice statistical models to predict claim costs and expenses. In this key role, you will create technical pricing tools used to monitor risk mix and expected loss ratios whilst designing and improving geographic and vehicle classification factors. With a detailed understanding of appropriate statistical techniques for multivariate modelling and geographical classification, the successful candidate will also possess advanced level knowledge of pricing software. Knowledge of tools such as SAS, R, Python is desirable."	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82435/592938462"	"02/12/2018 07:12:55"	"http://www.jobserve.com/GlCbg"	NA	NA
"GI Pricing Manager - North"	"GBP"	"Leeds"	"Permanent"	"GI Pricing Manager - North"	"Leeds - GBP"	"Permanent"	"Posted: Sunday, 2 December 2018"	""	"Major insurer has an exciting opportunity for a part-qualified or qualified non-life actuary with a high level of pricing experience to develop and deliver the new business customer pricing strategy through ownership of the end-to-end pricing process. With excellent communication and negotiating skills, the successful candidate will possess excellent knowledge of statistical analysis tools and techniques eg Access, SAS, Microsoft Excel (including Visual Basic) and Generalised Linear Modelling. Earnix and/or Radar experience a plus. Flexible working arrangements are available for this role."	"Leeds, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85086/592938345"	"02/12/2018 07:12:50"	"http://www.jobserve.com/GlCbZ"	NA	NA
"Pricing Manager"	"GBP"	"Reigate, Surrey"	"Permanent"	"Pricing Manager"	"Reigate, Surrey - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Fairbank Partners are working with a Personal Lines insurer to source a Nearly/Newly Qualified Actuary to join as Pricing Manager.  The opportunity: Deliver accurate statistical modelling of Personal lines products using GLM analysis Manage a team of direct reports Research and implement improvements to the claims modelling process Manage a growing team The individual: Nearly/Newly Qualified Actuary with previous experience in management  Good IT skills Pricing background Excellent communication skills "	"Reigate, Surrey, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82725/592938566"	"01/12/2018 14:26:53"	"http://www.jobserve.com/Gk42I"	NA	NA
"Model Validation - London Market"	"GBP"	"London"	"Permanent"	"Model Validation - London Market"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Fairbank Partners are working with a leading general insurer to source a Nearly/Newly Qualified Actuary to join the Capital team. The opportunity: Join a growing team within the business Model validation work- acting as the point of contact to the independent validators Projects within capital modelling also  Highly business facing Excellent opportunity for personal growth The individual: Nearly/Newly Qualified Actuary Experience in model validation"	"London, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85094/592939145"	"01/12/2018 14:17:49"	"http://www.jobserve.com/Gk4nd"	NA	NA
"Casualty Insurance Analyst (Pricing)"	"GBP"	"London"	"Permanent"	"Casualty Insurance Analyst (Pricing)"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Leading global provider of reinsurance solutions has a fantastic opportunity for a part-qualified GI actuary to help to develop the casualty pricing tools and price individual deals to enable the organization to make informed commercial decisions. Working very closely with underwriters and the Senior Casualty Insurance Analyst, you will perform the necessary qualitative, numerical and actuarial analysis on Casualty and Specialty deals, leading to underwriting recommendations.  You will also continuously improve the selection and pricing of risks through the development of new pricing models and the refinement of existing tools. In addition, you will collaborate with the underwriting team to assess the profitability and risk profile of new business and the impact on the overall portfolio.  With experience in pricing a wide range of casualty insurance lines including general casualty and professional liability lines, the successful candidate will also possess strong communication and interpersonal skills. "	"London, UK"	"Finance"	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85056/592939053"	"01/12/2018 14:16:50"	"http://www.jobserve.com/Gk4lY"	NA	NA
"Deputy to the Head of Reserving - Leading Insurer"	"GBP"	"Southampton, Hampshire"	"Permanent"	"Deputy to the Head of Reserving - Leading Insurer"	"Southampton, Hampshire - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Fairbank Partners are working with a leading insurer to source a Nearly Qualified Actuary to join their reserving team in the regional office. The opportunity: Excellent opportunity to manage a small team, offering a step up in responsibility Take part in IFRS17 projects in the future Study support is offered  The individual: Nearly Qualified actuary Background in GI Excellent communicator To discuss this role please submit your CV. Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency."	"Southampton, Hampshire, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82349/592938961"	"01/12/2018 14:15:21"	"http://www.jobserve.com/Gk4it"	NA	NA
"FIA Pricing Manager"	"GBP"	"Reigate, Surrey"	"Permanent"	"FIA Pricing Manager"	"Reigate, Surrey - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Fairbank Partners are working with a leading Personal Lines insurer to source a Qualified Actuary to join their pricing team at Manager grade. The opportunity: Coach and mentor direct reports Utilise GLM analysis to deliver accurate statistical modelling of personal lines products Communicate results of the statistical modelling to senior management Rapidly growing company, exciting time of growth  The individual: Qualified Actuary with previous experience in Pricing Experience in management (formal or informal) is an advantage Good verbal communication skills Strong knowledge of pricing software"	"Reigate, Surrey, UK"	"Finance"	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82882/592938094"	"01/12/2018 14:14:27"	"http://www.jobserve.com/Gk4hK"	NA	NA
"Capital Analyst - Tyche"	"GBP"	"London"	"Permanent"	"Capital Analyst - Tyche"	"London - GBP"	"Permanent"	"Posted: Saturday, 1 December 2018"	""	"Capital Analyst (Tyche) A leading growing London Market business are seeking an actuarial analyst to join their high calibre Capital team. The focus of the successful candidate will be to learn every aspect of Capital modelling and report directly in to the Head of Capital A number of duties include: - Parameterisation of the internal model. - Work closely alongside all areas of the business. - Interpreting results and producing reports to the key members of the business. - Developing and running the internal model to meet both business needs and external requirements. - Regulatory requirements. - Assisting the internal model validation team. - Maintain documentation.From you they are looking for: - 1-3 year's actuarial experience but Capital modelling not essential. - Coding experience would be beneficial. - Extremely keen to learn all aspects of Capital modelling to a high level. - Excellent problem solving and analytical skills. - Aptitude for coding and a keen eye for detail. - Ability to simplify key information and present it to stakeholders. - A good team player as well as self starter. - Programming language would be useful. - Solvency ii experience would be beneficial. "	"London, UK"	"Finance"	NA	"GBP"	"HFG"	"HFG"	"JS7286_82327/592939082"	"01/12/2018 14:14:13"	"http://www.jobserve.com/Gk4gn"	NA	NA
