"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"duration"	"category"	"company_summary"
"Data Lake Lead - Data Warehouse - Azure Data Factory - Agile"	"£90,000 - £100,000 + Amazing Benefits"	"London"	"Permanent"	"Data Lake Lead - Data Warehouse - Azure Data Factory - Agile"	"London - £90,000 - £100,000 + Amazing Benefits"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Data Lake Lead - Data Warehouse - Azure Data Factory - Agile - £90,000 - £100,000 + Amazing BenefitsA world leading Ecommerce Company is looking to hire a Platform Lead who has rich experience working in Data with proven experience in designing, developing and supporting a Data Lake solution. You will be responsible for leading the data lake solutions including the design, development, planning and delivery of the solution.The successful Platform Lead will have the following experience:Experience of the design, development and operation of the Data Lake platformExperience working in a mobile focused E-commerce environment and an understanding of data principles, data culture, Data Lake and Data Science technologies and processesDrive day to day operations, monitoring and maintained of the platform to ensure reliability, predictability of the platformScale and grow the talent within the data capabilityHas strong knowledge of agile best practicesMust have strong knowledge of either AWS, AZURE, Goolge Cloud etcBenefitsFlexible working hoursFlexible work from homeWorking for an award winning business that offers an award winning cultureBonus of 20%26 days holiday + BHPrivate healthcarePensionTo apply, please send your CV to Tom HurleyData Lake Lead - Data Warehouse - Azure Data Factory - Agile - £90,000 - £100,000 + Amazing Benefits"	"London, UK"	"IT"	"ASAP"	"£90,000 - £100,000 + Amazing Benefits"	"Resource Solutions - Method Resourcing"	"Tom Hurley"	"JS-TH/PL"	"30/11/2018 16:50:06"	"http://www.jobserve.com/GkqkY"	NA	"Executive"	NA
"Python DevOps Engineer Contract Role in Sheffield!"	"Market"	"Sheffield, South Yorkshire"	"Contract"	"Python DevOps Engineer Contract Role in Sheffield!"	"Sheffield, South Yorkshire - Market"	"Contract"	"Posted: Monday, 3 December 2018"	""	"My customer is looking for 2 Python DevOps Engineers to work on a 6 month project in Sheffield. Job Description  Experience of developing and managing analytics solutions, ideally in Anaconda; Enterprise edition preferred (but not essential).  Exposure to managing open source repositories from external sources in a secure and approved way  Some knowledge of managing Data Science solutions in a Dev Ops Pipeline, considering deployment; ideally with exposure to tools such as Jenkins and Jira  Data science tooling experience, with an understanding of available python libraries and their implementation, preferably with an analytics background or similar.  Awareness of cloud technologies in AWS and/or GCP, and their use within data science and machine learning  Experience working in relevant environment/s, ie Anaconda, Python 2.7 and Python 3.5, R, Repository management  Ideally with Exposure to Docker or other related container technologies  Systems Implementation experience preferable, but not essential  Start: AsapLocation: Sheffield Duration: 6 months If you are interested or available please send me your most up-to date CV in a Word format and I will call you to discuss it further."	"Sheffield, South Yorkshire, UK"	"IT"	"ASAP"	"Market"	"Linksap Europe Ltd"	"Owen Richardson"	"JSLINKOREWPYTHON"	"03/12/2018 14:22:56"	"http://www.jobserve.com/GlP3d"	"6 months"	NA	NA
"Chief Data Scientist (Python, Machine Learning)"	"£500 - £600 per day"	"London"	"Contract"	"Chief Data Scientist (Python, Machine Learning)"	"London - £500 - £600 per day"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Chief Data Scientist (Python, Machine Learning) is required by a large entertainment sector company to create a recommendation engine based on Machine Learning technologies.Required experience and skills:software development experience including PythonMachine Learning using Tensorflow or similarexperience in architecting and developing recommendation engines will be beneficialcreative approach and analytical skillsstrong mathematical skillsexcellent communication and client facing skillsexperience in leading and managing data science teams will be beneficialExcellent opportunity to join a team working on one of the most exciting Machine Learning projects in the UK."	"London, UK"	"IT"	"ASAP"	"£500 - £600 per day"	"Careerwise"	"Konrad Chmura "	"JS-0000005587"	"03/12/2018 19:54:31"	"http://www.jobserve.com/GlTDa"	"6 months +"	NA	NA
"Claims Analytics Manager"	"£50k - £60k per annum + Benefits + Car Allowance + More"	"East Sussex"	"Permanent"	"Claims Analytics Manager"	"East Sussex - £50k - £60k per annum + Benefits + Car Allowance + More"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Job Title: Claims Analytics ManagerLocation: SussexSalary: up to £60,000Position: PermanentJob Description:An exciting new opportunity for an Analyst to join a large reputable company in the South Coast. With their rapidly growing analytics team, they are looking for a leading candidate who will be the driving for the analytics team. You will take lead in company-wide projects in order to drive forward change, champion analytical excellence and use data and analytics to break down complex business problems.As a Claims Analytics Manager you will have experience in applying analytics and data science techniques to solve real business problems. You will build a team of analysts, introducing new techniques and advanced analytical methods.You will be:Providing analytical insight on claims and counter-fraud performance, enabling the business to deliver competitive prices to customers.You will be supporting leadership and operations through the development and delivery of analytical tools and insight.Enabling the business to understand, monitor and communicate the drivers of claims and counter-fraud performanceControl indemnity and operational spendYou will help solve complex business problems using analytical and statistical techniquesUse machine learning techniques and predictive modellingEnsure all projects are completed to a deadlineManage internal and external senior stakeholdersTake line management responsibility and share a hands-on approach to projectsYou will need:Good problem-solving skillsDeliver actionable insights to senior stakeholdersHave practical experience using predictive modelling and machine learning techniques and drive decision makingBe a strategic thinker and conduct medium and long-term plansManage and develop a team of analystsConfident in building networks throughout the businessHave a numerical degreeBe proficient in Python, R and SQLExperience with Tableau and Power BI will be advantageous.This is an excellent to opportunity to take your career to a new level. DON'T get left behind APPLY NOW! To discuss this exciting opportunity in more detail, please send your CV to (see below) or call Jennifer Cruz in complete confidence ASAP.  Parallel Consulting is a leading Analytics Recruitment Consultancy with many live Contract and Permanent job opportunities. We deal with Clients throughout the UK, Europe and USA.   Confidentiality is of course guaranteed.Parallel Consulting is acting as an Employment Agency in relation to this vacancy."	"East Sussex, UK"	"IT"	NA	"£50k - £60k per annum + Benefits + Car Allowance + More"	"Parallel Consulting"	"Jennifer Cruz "	"JS-2006"	"27/11/2018 10:00:20"	"http://www.jobserve.com/GkNBP"	NA	NA	NA
"New Permanent Opportunity! Data Scientist! Immediate Start!"	"£40k - 43k per year + Benefits"	"London"	"Permanent"	"New Permanent Opportunity! Data Scientist! Immediate Start!"	"London - £40k - 43k per year + Benefits"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"RSR Regulatory Services is a market leading recruitment business dedicated to supplying experienced practitioners on a temporary, contractual or permanent basis to the Law Enforcement, Cyber Security, Offender Management and Regulatory Services talent markets.RSR Regulatory Services are currently recruiting for a Data Scientist to join a well-established healthcare regulatory body to deliver data insights the drive operations and direct resources for the business.Role: Data ScientistContract Type: PermanentSalary Range: £40000/Annum - £43000/Annum + BenefitsMain duties and responsibilities Develop mechanisms for analysing, modelling and reporting relevant employer and healthcare settings risk data to provide intelligence to the organisation.Contribute to the development of the business' insight and intelligence capability by bringing knowledge and experience of data science.Manage stakeholders and partners (internal and external) and develop effective partnerships with external data science teams and academics to ensure that the NMC's data science capability is in line with others within the healthcare regulatory context. This includes sharing of data and information, ensuring all aspects are covered within GDPR and other relevant legislation.Apply (or develop if necessary) tools and pipelines to efficiently collect, clean, and prepare massive volumes of data for analysis.Acquire and use broad knowledge of innovative methods, algorithms, and tools from within Microsoft and from the scientific literature, and apply them to analysis of scalability and applicability to the formulated problem.Transform formulated problems into implementation plans by applying (and creating when necessary) the appropriate methods, algorithms, and tools, and statistically validating the results against biases and errors. This includes the interpretation of results and development of insights and providing the business with risks and limitations.Influence change by promoting the understanding and the development of regulatory intelligence and the concept of data science within the organisation, including senior colleagues and senior external stakeholders.Undertake complex research and analysis at strategic and operational levels, linking information and intelligence to identify patterns and trends and to identify risks and concerns for various teams through timely research of all necessary internal systems and external sources using open source intelligence.Enhance data collection procedures to include information that is relevant for building analytic systems.Select features, build and optimise classifiers using machine learning techniques.Validate, monitor, and drive continuous improvement to methods, and propose enhancements to data sources that improve usability and results.Person SpecificationQualified to degree level in a relevant discipline such as statistics or economics or relevant work experience. B.S. in Computer Science, Statistics, Operations Research or similar quantitative field.Experience with data visualisation tools, such as PowerBI, D3.js, GGplot, etc.Experience of applying statistical modelling, ML and data mining algorithms to real world problems.Experience handling varied and complex data sources to draw accurate and insightful conclusions.Good understanding and experience with distributed data/computing tools like Map/Reduce, Hadoop, Spark, Hive, etc.Practical understanding and experience of working with the principles of the National Intelligence Model (desirable).Solid working knowledge of advanced analytical software and databases (eg Microsoft Azure and SAS).Solid working knowledge in one or more Scripting/database querying languages like Hive, Pig or SQL.Excellent applied statistics skills, such as distributions, statistical testing, regression, etc.If you would like to be considered for this position and have the relevant experience, then please email your CV to dapo.adewunmi@rsg Alternatively, if this role is not for you but you do know somebody who would be interested please refer them. We have a referral bonus scheme and will pay £75, in retail vouchers of your choice, for referrals who are not already known to us.Due to the high volume of applications received, if you do not hear from us within 7 working days, I am afraid your application has been unsuccessful.RSR Regulatory Services is member of the Red Snapper Group.The Red Snapper Group acts as an employment agency (permanent) and as an employment business (temporary) - a free and confidential service to candidates.The Red Snapper Recruitment Group is an equal opportunities employer.Word cloud: data science, analytics, data scientist, data, statistics, programming, algorithms, intelligence "	"London, UK"	"IT"	NA	"£40k - 43k per year + Benefits"	"Red Snapper Recruitment"	"Dapo Adewunmi"	"JSDA - DS - LDN"	"30/11/2018 11:53:39"	"http://www.jobserve.com/Gkp6B"	NA	NA	NA
"Data Scientist (Deep Learning, Neural Nets, Fake News)"	"£65k - £75k per annum + equity"	"London"	"Permanent"	"Data Scientist (Deep Learning, Neural Nets, Fake News)"	"London - £65k - £75k per annum + equity"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Data Scientist (Deep Learning, Neural Nets, Fake News):We are currently looking for Data Scientist (Deep Learning, Neural Nets, Fake News) to join a rapidly expanding Machine Learning (NLP) start-up, based in central London. This start-up have already patented their own Machine Learning technology and are revolutionizing the way in which we access and process news within the realm of social media.This organisation have just recieved a huge amount of funding and are currently searching for a Data Scientist with experience in Deep Learning and Neural Networks within their academic, research or industry related work (published papers are a huge benefit). You will be passionate about contributing to the solutions of real-world problems through the devise of a Deep Learning and Machine Learning model.As a Data Scientist, you will be developing deep learning models that will be used to determine whether news is either real or fake. You will also have a key role in classifying the effectiveness of the Big Data that the team are using. In addition to this, you will be defining the strategy of how their model is used in the long-term. You will also have the opportunity to publish papers at a world-renowned University, who the company are currently working closely alongside. What we can offer a Data Scientist (Deep Learning, Neural Nets, Fake News):To work in a high profile startup within the domain of social media analysisStrong salary and package offeredFlexible working environment and hoursBecome an integral and key member of the team, work among experts in the field of ML/NLPKey Skills: Data Scientist (Deep Learning, Neural Nets, Fake News); Deep Neural Networks, NLP, Deep Learning, PhD, Research, Researcher, Graph Theory, Statistics, Mathematical Models, Natural Language Processing, DL, ML, Machine Learning, Post Doc, Tensorflow, Unsupervised Learning, Supervised Learning, Semi-Supervised Learning, Signal Processing, Probability Theory, Probability, Stats, Mathematics, Maths, Data Mining, Map-Reduce, NIPS, IEEE, Publications, Clustering, Big Data, Data Science, Data Scientist, Machine Learning Models, NN, Neural Networks, DNN, GANS"	"London, UK"	"IT"	"ASAP"	"£65k - £75k per annum + equity"	"Understanding Recruitment"	"Anna Heneghan "	"JS-BBBH1522"	"03/12/2018 05:00:28"	"http://www.jobserve.com/GlHhh"	NA	NA	"About Understanding Recruitmentwww.understandingrecruitment.co.uk/Understanding Recruitment are a multi-award winning technology recruitment specialist based in St. Albans, Hertfordshire.We avoid using the specialist term unless it is true. This is why we are proud to have teams across Java, DevOps & Cloud, Mobile & Web and .NET that focus purely within their niche in an ever evolving market. Our Corporate Solutions team cover a wide variety of technology, digital roles & can also provide a managed service solution.Within Corporate, we have a specialist Not-For-profit team focused on delivering high quality candidates within the Charity sector.With a dedicated Contracts team we can accommodate & ensure you deal with specialists, not just within their technical niche, but also within the recruitment process you are operating in.Our teams focus on finding highly skilled individuals to help our clients meet their requirements & candidates find their dream move. Best Staffing Firms to Work For 2017 | SIA AwardsRecruitment Company of the Year 2016 | APSCo Awards for Excellence"
"Data Scientist"	"Market Rate"	"South West London"	"Contract"	"Data Scientist"	"South West London - Market Rate"	"Contract"	"Posted: Wednesday, 28 November 2018"	""	"One of my leading clients is looking for a Data Scientist to work onsite for 6 months paying market rate. Please note you must have experience with Management of Projects, Advanced Analytics, Supply Chain and Cloud Architecture. This role will focus on advanced demand forecasting, building models that enable markets to make better planning decisions. It will deliver the priority projects agreed between I&A Supply Chain lead and the markets.Key Skills and Responsibilities:Machine learning forecasting techniques Fully Operational * Statistical modelling Fully Operational * Operational research and supply chain Detailed Domain Knowledge * Optimisation techniques and tools Fully Operational * Manipulating multi-source data Fully Operational * Python coding and R Fully Operational * Cloud architecture (preferably MS Azure) Working Knowledge * Simulation packages eg Anylogic Working Knowledge * Distributed computing (Hadoop, Spark) Working Knowledge * Work with the I&A Supply Chain lead and market teams to fully understand the business problems and how to deliver relevant insights that lead to actions. *Gather data and build machine learning models to solve advanced forecasting problems requiring predictive and/or prescriptive analytics * Guide the work of 3rd party vendors, ensuring optimal delivery while creating IP and capability * Support product teams scaling models into low-touch solutions to provide optimal ROI from data science. *This is an exciting new role in the Data Science Centre of Excellence team in, which is tasked to deliver maximum value from data to drive business and organization performance. To apply please send your CV to (see below) "	"South West London, UK"	"IT"	"ASAP"	"Market Rate"	"Gibbs Hybrid"	"Nicole Witney "	"JS-NWLRDATA"	"28/11/2018 21:25:24"	"http://www.jobserve.com/Gkcln"	"6 months"	NA	"About Gibbs Hybridwww.gibbshybrid.comGibbs Hybrid Gibbs Hybrid is an International people-powered business, providing Programme Technology Solutions, Total Talent Management Services and Outsourcing as a Service. We offer our innovative blended models to help improve our clients’ People, Technology, Process and Delivery Challenges.Headquartered in the UK, Gibbs Hybrid has offices across Ireland, Poland, Luxembourg, US and Canada.  We are a tier one partner, privately held and a globally certified Woman-owned Business Enterprise (WBE) & Ethnic Minority Owned Business (EMB). Our passion is to be the most respected and trusted partner and our philosophy is centred round Innovation, Customer Centricity, Expert Execution.Passionate about people and passionate about making a difference. "
"Hybrid Cloud Solution Architect - Finance - Hybrid Cloud, AWS, Azure, IBM, Google Cloud"	"£100k - £150k + Bonus and benefits"	"London"	"Permanent"	"Hybrid Cloud Solution Architect - Finance - Hybrid Cloud, AWS, Azure, IBM, Google Cloud"	"London - £100k - £150k + Bonus and benefits"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	"Hybrid Cloud Solution Architect - Finance - Hybrid Cloud, AWS, Azure, IBM, Google Cloud Hybrid Cloud Solution Architect required by one of the top consultancy firms to join the Financial Services advisory area and act as a subject matter expert on implementing Hybrid Cloud solutions and on discussing with customers on phasing the public cloud migration/adoption. Lead and deliver client engagements helping them to adopt public cloud. Deliver hands-on architecture solutions and mentor junior solution architects. Technical skills VMWare or MSFT Virtualisation. OpenStack. TOGAF or Zachman certification is a plus Must have 5+ years of experience in architecture and design of hybrid cloud solutions involving multiple cloud vendors (GCP, Azure, AWS) and several types of cloud (public, virtual private, private) A university degree, preferably in computer science, engineering, business and information or similar, with a minimum of a 2:1 (or equivalent), and ideally an MBA or MSc; Familiarity with common enterprise services frameworks (ITIL, TOGAF etc.) Experienced at producing multi-tier, high-availability infrastructure architectures in an Enterprise & Cloud environment Expert knowledge in implementing and operating in cloud platforms (Azure, Google Cloud Platform, AWS, Salesforce) Responsibilities Developing and bringing to market analytics propositions and services Analytics strategy, target operational model, analytics capability establishment method definition and execution Development of Cloud and advanced analytics market strategy and propositions Leadership over advanced analytics internal capability development in the areas of data science, cloud analytics, natural language processing, Real Time analytics Designing and implementing Analytics Centre of Excellence capabilities Establishment of managed service analytics capabilities Establishment of commercially successful relationships with technology vendors Strong knowledge of virtualisation, hypervisors, containers. Some DC management experience. 5 years+ experience dealing with private cloud management, on premise virtualisation of systems. An infrastructure background more than a software background. Knowledge of SDDCs, Ops automation is a plus. Understands DC cost management, scalability (burst management)/usability, DR and DC maintenance (patching, upgrades), cloud connectivity (peering). Experience outsourcing and negotiating strict SLAs (response time and availability). Strong exposure to cloud hybrid solutions: VMWare on AWS/GCP, OpenStack, Azure Stack "	"London, UK"	"IT"	"Dec 2018/Jan 2019"	"£100k - £150k + Bonus and benefits"	"Curtis Reed Associates"	"Sam Turk "	"JS/HYBCL/SAM"	"27/11/2018 09:52:55"	"http://www.jobserve.com/GZQkl"	NA	"Executive"	"About Curtis Reed Associateswww.curtisreed.comCurtis Reed Associates is an IT recruitment organisation, established in 1998, specialising in providing staff across all sectors. Our clients range from international Banks and Consulting firms to Fintechs.Our reputation is built on our deep understanding of our market and attention to detail. Our consultants specialise in their own niche market area and have a deep understanding of their business area and candidates. Part of our success is due to the quality of candidate networks that we have established and the ability to quickly understand our clients’ requirements and deliver candidates that match.Curtis Reed Associates is committed to recruitment best practice and is GDPR compliant."
"Data Scientist"	"£40k - £50k per annum"	"Newcastle upon Tyne"	"Permanent"	"Data Scientist"	"Newcastle upon Tyne - £40k - £50k per annum"	"Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Data Scientist Newcastle upon Tyne, Tyne & Wear Up to £50,000 per annum Do you envisage yourself working with a minefield of data? Do you want to work with the latest technology, in conjunction with some of the biggest companies on the market? Are you more 'T-shirt and Jeans' than '3 Piece Suit'? The company, based in the heart of Newcastle, have worldwide reach and are an international market leader within their specialism. This is the kind of company that people highlight as their eventual employer and there is always massive competition for their roles when they arise; part of the reason for this is that employees here do not typically leave!  This is company is huge with international presence, yet they still pride themselves in having a start-up environment. Suits are nowhere to be seen here and you are encouraged to be yourself! There are huge perks including, frequent training opportunities, international travel and the opportunity to establish yourself worldwide. This position will see you join an already established Data team with enough work and data for you to fully engulf yourself from Day 1. In direct contrast to many of the other Data roles on the market these days, you are backed to demonstrate insight and help to tell a story with the data that you are assigned. You will use this data to predict not to reflect, therefore we are looking for a very analytical thinker. There are no salary bands or unachievable targets in place to restrict your earning potential, simply frequent reviews and grown up conversations regarding what you are doing, what you want to do and how to get there. Your salary grows along with your technical ability, this really is the chance to join an elite team based here in the North East the sky is the limit. Local to your office is the City Centre, a plethora of lunch options, amazing transport links and crazy Life Science museums. So if your passion is shopping, trying different cuisine or learning all about the anatomy of the human body we have you covered! There are fantastic transport links to just about everywhere in the Northern Region of the country, therefore this kind of role would suit those travelling from a-far. From a technical perspective, we're looking at candidates from a Data Science background who are looking to really excel their careers and technical ability. We are looking for unique individuals who come from a Data Scientist position and from a technical perspective, experience of using R, Python and Matlab would be of distinct advantage.The future of this position really is Computer Vision, so if this is an area of expertise for yourself or an area in which you'd like to break in to, this could be an opportunity for you!"	"Newcastle upon Tyne, UK"	"IT"	NA	"£40k - £50k per annum"	"Reed Technology"	"Scott Dawson "	"JS-77984"	"28/11/2018 15:28:22"	"http://www.jobserve.com/GkaGT"	NA	NA	NA
"DevOps Engineer (Python) - Leading Digital Agency/FTSE 100 Bank - London"	"Up to £700 per Day"	"London"	"Contract"	"DevOps Engineer (Python) - Leading Digital Agency/FTSE 100 Bank - London"	"London - Up to £700 per Day"	"Contract"	"Posted: Monday, 3 December 2018"	""	"Urgent requirement for a DevOps Engineer, to work with a leading digital agency onsite with their FTSE 100 banking client based in their Canary Wharf Office, London. Role: The role of the DevOps Engineer in GRA is to take responsibility for the delivery of technical aspects in a new Strategic Analytics Platform. In this role, an engineer would conduct the would provide analytics tools to data scientists in the business. This will mainly focus on managing and building components to support a python based user community on Anaconda, but also cover other areas. They will work with the Lead IT Platform Architect and Business Representatives to ensure solutions align to the wider architecture principles across GRA. Your responsibilities will include: Become an SME (subject matter expert) in managing the analytics environments and tooling Ensure that the highest level of quality is provided for all activities and products. Act as a hands-on team player and ensure the analytics platform is correctly built, configured, and operational Ensures that non-functional requirements are clearly understood and taken care of, such as performance and access control Customer focus; effectively engage with the data scientists, IT colleagues, and other stakeholders to build a trust-based relationship and deliver a connected service Work closely within DevOps environment to promote design best practice and ensure solutions align with architectural designs and principles. Adopt an agile mindset and approach to solution delivery The ideal candidate for this role will have: Experience of developing and managing analytics solutions, ideally in Anaconda (big data/data science experience preferable; Enterprise edition preferred (but not essential). Exposure to managing open source repositories from external sources in a secure and approved way Some knowledge of managing Data Science solutions in a Dev Ops Pipeline, considering deployment; ideally with exposure to tools such as Jenkins and Jira Data science tooling experience preferable, with an understanding of available python libraries and their implementation, preferably with an analytics background or similar. Strong knowledge of AWS and/or GCP, preferably with their use within data science and machine learning Experience working in relevant environment/s, ie Anaconda, Python 2.7 and Python 3.5, R, Repository management Ideally with Exposure to Docker or other related container technologies Systems Implementation experience preferable, but not essential Availability to undertake the travel required for this role, ie Availability to undertake the travel required for this role ie some national travel occasionally between London, Sheffield, and Cambridge Both spoken and written communication skills with experience of adapting your style and approach to the audience and message to be delivered Preferably looking for candidates with experience of the data science community, new ideas and willingness to stretch experience for what would be a fantastic opportunity to join a growing team, and really make an impact to our Data Science platform Key words; Anaconda, Data Science, DevOps, Dev Ops, Jenkins, JIRA, AWS, GCP, R, Respository management, Docker, platform architecture, etc."	"London, UK"	"IT"	"ASAP"	"Up to £700 per Day"	"Strike IT Services"	"Alisha Rogerson "	"JSDATASCIENCEENG"	"03/12/2018 09:20:06"	"http://www.jobserve.com/GiWMy"	"6 months"	NA	NA
"Senior Consultant - Insurance & Analytics - Enterprise Analytics Solution Practice"	"Strong Salary Package"	"London"	"Permanent"	"Senior Consultant - Insurance & Analytics - Enterprise Analytics Solution Practice"	"London - Strong Salary Package"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Do you want to join one of the fastest growing Global Platform Software Engineering Consultancies in the world?Do you enjoy working with super technical people coupled with strong business acumen?Here at EPAM, we combine best-in-class software engineering with digital strategy and experience design, business consulting and technology innovation services.Come join us!SUMMARY  We are looking for a Permanent Senior Consultant with very strong experience in Insurance and Analytics to join our Enterprise Analytics Solution Practice in London.The role will be aligned to one or more large clients of ours.We need: Deep Knowledge of the Insurance industry ie in various functions/domains within insurance eg Acquisition (Pricing, Marketing etc.) and Customer Management (Claims, Fraud, Attrition, Customer Engagement);Experience in customer analytics and how analytics could be applied to optimise business process eg acquisition, customer management etc. RESPONSIBILITIES Act as team lead, key workshops, assessment and roadmap preparations Present the project's objectives and EPAM's approach to deliver Drive/participate in the IT Service Manager Interviews and the IT Service Team Interviews Participate in the Persona and Use Case Interviews and drive the BU Leader Interviews Provide consultancy/coaching to the BI Analyst(s) Participate in sessions with the Enterprise/Solution Architects Provide consultancy/coaching to the BI Architect Participate and drive the Analytics Road-mapping Session Drive the finalization of the discovery results Drive the BI vision and strategy creation Drive the Review Session with the IT Sponsor and Service Managers Present the BI/analytics vision/strategy Drive the Analytics Roadmap Session REQUIREMENTS Communication: Excellent client-facing communication skills: Drives meetings/workshops/interviews (internal/with client) Excellent networking skills: Actively and proactively networks with the client stakeholders Able to communicate to both highly technical and non-technical stakeholders effectively Excellent documentation, communication and presentation skills  Business: Deep domain expertise in Insurance Industry Have the ability to see the big picture with a demonstration of strong business acumen Understanding of the strategic business needs and vision of the client Can create a 1-5 year BI/Analytics vision Can create a 1-2 year BI/Analytics strategy  Technical: Ability to review the current BI environment, map usage and performance of analytic applications and assess Analytics Maturity state of a Business Significant experience in customer analytics projects and can demonstrate experience of leading end to end projects Knowledge of Data Science principles to do predictive, AI and cognitive modelling Knowledge of Big Data technologies and tools Relevant experience with BI/analytics design/implementation projects Good understanding of Front End analytics, data analytic tools, ETL and Back End technologies  Process: Knowledge of the Analytics Roadmap processes and can support the Roadmap team members with training/coaching the methodology In depth experience in project management and stakeholder engagement (C-suite) Contributes to the definition of Stories/Tasks on Sprint level Understanding of Scrum processes and ability to work accordingly  WE OFFER Competitive compensation depending on experience and skills Opportunity to work on leading edge platforms, working in a fast-paced, agile, software engineering culture Knowledge-sharing with colleagues from EPAM's global tech communities Regular performance feedback and salary reviews Opportunities for professional growth ABOUT EPAM  Ranked as #12 on Forbes' List of 25 Fastest Growing Public Tech Companies for 2017, EPAM is committed to providing our global team of 25,900+ EPAMerswith inspiring careers from day one. EPAMers lead with passion and honesty, and think creatively. Our people are the source of our success and we value collaboration, try to always understand our customers' business, and strive for the highest standards of excellence. No matter where you are located, you will join a dedicated, diverse community that will help you discover your fullest potential."	"London, UK"	"IT"	NA	"Strong Salary Package"	"EPAM Systems Ltd"	"Chris Raynor"	"JS"	"30/11/2018 07:03:22"	"http://www.jobserve.com/Gja6L"	NA	NA	NA
"Enterprise Architect (Data)"	"Circa £85k"	"London"	"Permanent"	"Enterprise Architect (Data)"	"London - Circa £85k"	"Permanent"	"Posted: Tuesday, 27 November 2018"	""	" Enterprise Architect (Data)   Objectives  This role will contribute to the delivery of services as part of a global team that spans applications, infrastructure and data disciplines. The focus of this role is information/data architecture; The primary objective of the Data Architect side of this role is to strengthen the impact of, and provides recommendations on, business information that will need to be available and shared across the firms IT infrastructure  Primary Responsibilities:  Maximise value derived from data and analytics, by: fostering value creation using the firm's data assets, as well as the external data ecosystem; helping to improve business performance through enterprise information solutions and capabilities, such as master data management (MDM), metadata management, analytics, content management, data integration, and related information management or information infrastructure components; and the enablement of effective data and analytics governance, including its processes, policies and structures. Maintain existing data strategy and develop roadmaps for the future Champion the architecture standards and principles Help drive towards common global architectures and solutions Socialize architecture models and high-level designs with subject matter experts and other stakeholders Develop the high-level Architecture Vision for initiatives implement appropriate Architecture reviews and other review boards for projects/programmes/domains; act autonomously in dealing with identified issues or deviance from standards Surface information priority by assessing the benefits and the risks of information by using tools such as capability models to create an information-centric view to quickly visualize what information matters most to the firm based on the firm's strategy.  Skills, experience, and qualifications  A minimum of seven years of experience in IT, with at least three years' experience in solution and/or enterprise architecture in a complex environment, and two years in information system design with in-depth experience of designing and implementing information solutions. Self-managing, proactive, work effectively with minimal supervision Proven ability to communicate to all levels both verbally and in writing Experience in business capability modelling, information and Datamodelling, and information classification at the enterprise level, with an understanding in common information architecture frameworks Strong analytical and lateral thinking skills Ability to work collaboratively across the business Proven ability to stay abreast of industry and technology trends, and to assess rapidly changing technologies and apply them to business needs. Ability to 'see the big picture' and explain complex technical issues using non-technical language, whilst understanding the short-term perspectives of situations. Experience evaluating and analysing complex design propositions, with a track record of remaining unbiased toward specific technologies or vendors Strong stakeholder and relationship management skills Experienced in dealing with ambiguity and adapting to changing circumstances, with the ability to quickly comprehend the functions and capabilities of new technologies An understanding of meta-models, taxonomies, and ontologies, as well as of the challenges of applying structured techniques (Datamodelling) to less-structured sources. Familiarity with data science concepts, as well as MDM, business intelligence, and data warehouse design and implementation techniques. Experience with distributed management and analytics in the cloud and hybrid environments. Also an understanding of a variety of data access and analytics approaches (for example, microservices and event-based architectures). Experienced in working with global virtual teams Experience of working within Agile delivery environments Three to five years' experience as a data analyst is highly desirable. "	"London, UK"	"IT"	"Dec/January 2018"	"Circa £85k"	"Picture More Ltd"	"Jon Lewis"	"JS14234"	"27/11/2018 17:03:29"	"http://www.jobserve.com/GkQ3s"	NA	"Executive"	NA
