"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"category"
"Pricing and Product Development - Qualified Actuary - South West"	"GBP"	"Bristol"	"Permanent"	"Pricing and Product Development - Qualified Actuary - South West"	"Bristol - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Fairbank Partners are currently assisting a FTSE 100 company with their search for a Research and Development Actuary, to work on Pricing and Product development.  The opportunity includes: The research, design and develop new products across a varied product range.  Provide actuarial expertise and advice across the business, and to external entities.  High level of stakeholder engagement and management.  Lead, direct and motivate the other team members. Excellent package, flexible working, and career progression.   "	"Bristol, UK"	"Finance"	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82800/599836906"	"08/12/2018 09:19:37"	"http://www.jobserve.com/GmDe7"	NA
"Reserving Opportunity for a Part Qualified Actuary"	""	"London"	"Permanent"	"Reserving Opportunity for a Part Qualified Actuary"	"London"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Fairbank Partners are working with a leading international General Insurer to source a Part-Qualified Actuary to join the Reserving team, based in Central London. The opportunity: Develop tools to support business planning Assist with Monthly and Quarterly Reserving process Evaluate and analysis quarterly reserve estimates Produce timely and precise actuarial management information The individual: Nearly Qualified Actuary with excellent exam progress Experience in Reserving is a necessity Strong IT skills Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency. "	"London, UK"	"Finance"	NA	NA	NA	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85021/598778841"	"12/12/2018 11:38:52"	"http://www.jobserve.com/Gm6Cq"	NA
"Part or Newly Qualified Pricing Actuary for a UK Leading Insurer"	"GBP"	"Swindon, Wiltshire"	"Permanent"	"Part or Newly Qualified Pricing Actuary for a UK Leading Insurer"	"Swindon, Wiltshire - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Fairbank Partners are assisting a leading UK life Insurer with their search for a newly/part Qualified Actuary to join their Commercial Pricing Team. The Opportunity: This is an excellent opportunity to join an internationally recognised brand. To help develop and grow the Insurer's protection and wealth markets; developing both your technical skills and commercial understanding of the market. Opportunities to rotate throughout the business, and plentiful opportunities for career growth. Excellent exposure to the senior leadership team, and the opportunity to take ownership over projects. Ideal candidate: Newly Qualified Actuary with >2 years PQE or student who is making good progress in their exams. Previous life Insurance experience. Knowledge of pricing processes, bases and methodology, risk and capital models under Solvency II, MCEV principles and IFRS will be an additional advantage. Technical expertise and knowledge of legislation, regulation, professional guidance and develop understanding of target product range.  "	"Swindon, Wiltshire, UK"	"Finance"	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_83956/598778352"	"07/12/2018 16:01:12"	"http://www.jobserve.com/Gl6TS"	NA
"Bulk Annuity Pricing - New Business Team - Qualified Actuary"	"GBP"	"London"	"Permanent"	"Bulk Annuity Pricing - New Business Team - Qualified Actuary"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"We are working with a specialist Bulk Annuity Provider who have an excellent opportunity for a Pensions Actuary to move in to Life Insurance. You will join the new business team and work closely with Senior Actuaries as they interact with consultants, layers and trustees, The long term goal of this role is to enable you to lead on your own transactions and negotiations, The Bulk Annuity team is the fastest area of growth in the business and there is a lot of investment in this area to help take more market share, The ideal candidate will be a Qualified Actuary with a background in Pensions consulting, You will need to have strong communication skills, Eager to learn new skills,  "	"London, UK"	"Finance"	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85376/599554007"	"07/12/2018 16:01:05"	"http://www.jobserve.com/Gl6TJ"	NA
"Deputy Head of Pricing Role - Protection - Qualified Actuary"	"GBP"	"South East"	"Permanent"	"Deputy Head of Pricing Role - Protection - Qualified Actuary"	"South East - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Fairbank Partners are currently assisting a leading Life Insurer with their search for a Qualified Actuary to join them as a Deputy Head of Pricing.  They are particularly interested in speaking with candidates from a Life Insurance Pricing or Product Development background, ideally within Protection (group or individual). The role provides the following opportunity: The role provides a significant opportunity to work on various areas of Pricing and Reinsurance, including liaising with the Marketing team on Product Development proposals, and working closely with the senior leadership team on reprices. Management of a team of student and nearly qualified actuaries. Working closely with various other teams, including finance and systems teams, and managing relationships with internal and external business partners.  "	"South East, UK"	"Finance"	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82613/598778966"	"06/12/2018 11:20:35"	"http://www.jobserve.com/GlxK4"	NA
"Business Analysis Lead - L&H Actuarial Modelling"	"GBP"	"London"	"Permanent"	"Business Analysis Lead - L&H Actuarial Modelling"	"London - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Key Responsibilities:  Work closely with regional and global stakeholders to understand business requirements for the MoSes model Review and challenge proposed business requirements, steer prioritisation, and recommend pragmatic solutions which meet the needs of their various stakeholders, eventually translating these recommendations into functional specifications Work closely with the MCoE's Development and Testing teams to ensure efficient collaboration across the entire development process Ensure the MCoE Business Analysis work is conducted in a robust and controlled way, which is in line with the documented MCoE process Continually strive to increase the skills and knowledge of the MCoE Business Analysis team, and to seek constant improvements to the processes and procedures Ensure a clear and deep understanding of MCoE models and the wider systems landscape Coach and work with the regional Actuarial Management teams help them properly define and prioritise requirements Review the final testing results and testing sign-off documentation against the end user acceptance test criterial to ensure a smooth transition when handing over back to the users Lead the handover of the MoSes models back to the business users and provide the necessary user training Qualifications/Experience: Clearly evidence sound knowledge of actuarial reserving practices and theory in the life reinsurance/insurance industry Be a skilled actuary with at least 5+ years of experience working in the life insurance industry. Part qualified/qualified actuary preferred. Exposure to the MoSes or RAFM platform is advantageous "	"London, UK"	"Finance"	NA	NA	"GBP"	"Emerald Group"	"Emerald Group"	"JS7286_85201/602841767"	"12/12/2018 09:31:02"	"http://www.jobserve.com/Gm4cN"	NA
"First Step into Reinsurance - Part Qualified Actuary - Pricing"	"GBP"	"London"	"Permanent"	"First Step into Reinsurance - Part Qualified Actuary - Pricing"	"London - GBP"	"Permanent"	"Posted: Monday, 10 December 2018"	""	"We are working with a Global Reinsurer who have an excellent opportunity available to Part Qualified Actuaries who are looking to move into Pricing. A move to Reinsurance at this stage of your career will be an excellent addition to your CV and a place you can develop excellent commercial skills, You will have the opportunity to work across Protection and Longevity Pricing as well as getting involved in bespoke Capital solutions work, Experience client facing work and grow a good network within the UK Life Insurance market, The ideal candidate will be a Part Qualified Actuary with a background in Life Insurance, They are happy to effectively treat this as a rotation into pricing so will look at people with a rage of Actuarial skills,  "	"London, UK"	"Finance"	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_86422/602153597"	"10/12/2018 13:06:12"	"http://www.jobserve.com/Gmhkm"	NA
"Join an international Re-insurer in their Actuarial Pricing arm"	"GBP"	"London"	"Permanent"	"Join an international Re-insurer in their Actuarial Pricing arm"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Fairbank Partners are assisting an international life insurer with their search for a Qualified Actuary to join their Protection Pricing Team as a Senior Pricing Actuary. The purpose of the role is to manage the process of compiling tenders for specific quotes and to support the Pricing Actuaries by taking ownership of projects. The Opportunity: Great deal of client interaction and exposure to the industry. Ability to create and further develop your Pricing market network Interaction with senior stakeholders. Management of projects and mentoring of Actuarial students. Flexible working on offer - up to 2 days from home per week Ideal candidate: Qualified Actuary with 3+ years' experience, preferably in Pricing in life Insurance or the Reinsurance market. Experience of managing small project teams. Ability to write and maintain code in VBA or similar language would be an advantage. Strong IT skills with good understanding of MS Excel & Access and experience of at least one actuarial modelling package   "	"London, UK"	"Finance"	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85249/598778818"	"07/12/2018 15:25:57"	"http://www.jobserve.com/Gl6Kz"	NA
"Accelerate Your Career in a Big 4 Consultancy - Part Qualified Actuary"	"GBP"	"Bristol"	"Permanent"	"Accelerate Your Career in a Big 4 Consultancy - Part Qualified Actuary"	"Bristol - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"We are working with one of the Big 4 who are looking to hire a number of Part Qualified Actuaries in to their Life Insurance team. A move to a consultancy at this stage of your career will give you an excellent platform to develop both technical and soft skills, It will give you the opportunity to work on some of the hottest topics in the market, You will be working closely with Senior Managers, Directors and Partners who are all committed to developing you as a Consultant and as an Actuary, You will be exposed to a broad range of Actuarial work and it is a great place for you to develop new skills. There is a big focus on IFRS17, M&A, Capital Management and Transactions projects, The ideal candidate will be a Part or Nearly Qualified Life Actuary and you will be part of their study program,  "	"Bristol, UK"	"Finance"	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85183/599836855"	"12/12/2018 11:38:56"	"http://www.jobserve.com/Gm6Cv"	NA
"Actuarial Analyst"	"GBP"	"London"	"Permanent"	"Actuarial Analyst"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"My client, a market leading insurer, are looking for an excellent graduate or part-qualified analyst to join their Pricing team. This role will be varied with a big emphasis on collaborative work and the opportunity to take on responsibility from an early stage. My client is looking for confident, well-rounded and outgoing individuals looking to join a hard-working and fun environment. Candidates with exposure to the insurance industry would be welcomed, as well as candidates who have commercial acumen as well as an understanding of the importance that technical skills can add to the role. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Bolton Associates"	"Bolton Associates"	"JS7286_85196/598778502"	"06/12/2018 09:15:20"	"http://www.jobserve.com/GlwdL"	"Graduate"
"Actuarial Executives: Non-life"	"GBP"	"London"	"Permanent"	"Actuarial Executives: Non-life"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Leading consultancy has a number of exciting opportunities for part-qualified or qualified GI actuaries with some reserving experience to support a number of workstreams, including reserving, capital validation and risk, finance transformation, IFRS17, Part VIIs and transactions. Ideally, the successful candidate will have some experience of independent reserve reviews under different accounting bases for Property and Casualty classes of business with experience of the London and Bermuda market. An effective communicator, you will possess the ability to deal with outward-facing clients on projects.  An excellent career opportunity. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82620/598778965"	"06/12/2018 11:11:17"	"http://www.jobserve.com/GlxFE"	NA
"Reserving Actuary (Non-Life)"	"£500p/d. to £1000p/d"	"London"	"Contract"	"Reserving Actuary (Non-Life)"	"London - £500p/d. to £1000p/d"	"Contract"	"Posted: Thursday, 6 December 2018"	""	"Oliver James associates are working on several Reserving contract opportunities with multiple non-life insurers based in Central London.OJA are currently looking for contractors at varying levels, from several years of experience up to FIA qualified, highly experienced reserving actuaries.Day rates on offer will range from £500p.d. to £1000p.d. depending on seniority and level of experience. The durations of contracts range between 3-6 months (initially)The start dates will be ASAP, but some can accommodate a January 2019 start. "	"London, UK"	"Finance"	NA	NA	"£500p/d. to £1000p/d"	"Oliver James Associates"	"Oliver James Associates"	"JS7286_82828/598778594"	"06/12/2018 11:33:31"	"http://www.jobserve.com/GlxPL"	"Executive"
"Non-life Actuarial Contractors - Pet Insurance"	"GBP"	"London"	"Permanent"	"Non-life Actuarial Contractors - Pet Insurance"	"London - GBP"	"Permanent"	"Posted: Sunday, 9 December 2018"	""	"Leading specialist insurer has a number of exciting opportunities for qualified non-life actuaries with personal lines experience to join their pet insurance team. The successful candidates should be technically-astute and be able to hit the ground running. Specific knowledge of pet insurance would be a distinct advantage.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_86403/601386986"	"09/12/2018 09:10:17"	"http://www.jobserve.com/GmRP7"	NA
"Highly-skilled Capital Actuary"	"GBP"	"London"	"Permanent"	"Highly-skilled Capital Actuary"	"London - GBP"	"Permanent"	"Posted: Wednesday, 12 December 2018"	""	"Leading consultancy is seeking qualified non-life actuaries with detailed experience of capital modelling/validation to help develop and grow the business. Recent regulatory experience would also be of interest. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85271/598778257"	"12/12/2018 11:38:07"	"http://www.jobserve.com/Gm6B4"	NA
"Life Actuarial Consulting in the City"	""	"London"	"Permanent"	"Life Actuarial Consulting in the City"	"London"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"We have multiple roles available within a growing London-based consulting team for candidates with strengths in reporting and/or modelling. Working with a wide variety of clients within a close-knit team, these roles afford excellent growth opportunities together with study support for those looking to qualify. "	"London, UK"	"Finance"	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82586/598778314"	"06/12/2018 09:12:53"	"http://www.jobserve.com/Glwbk"	NA
"Capital modelling Actuary"	"GBP"	"London"	"Contract"	"Capital modelling Actuary"	"London - GBP"	"Contract"	"Posted: Friday, 7 December 2018"	""	"Leading General Insurer is looking for a number of capital modellers to join them now for 6-9 months, to help with their model redevelopment. Experience in igloo, remetrica or tyche is beneficial and this will suit someone who enjoys the technical aspect of capital modelling. "	"London, UK"	"Finance"	NA	NA	"GBP"	"HFG"	"HFG"	"JS7286_85155/598778926"	"07/12/2018 16:01:37"	"http://www.jobserve.com/Gl6Tm"	NA
"Accounting Reserving Actuary Contract - 6 months"	"GBP"	"London"	"Contract"	"Accounting Reserving Actuary Contract - 6 months"	"London - GBP"	"Contract"	"Posted: Friday, 7 December 2018"	""	"A chance to work for 6 months at a well-known Insurance firm based in the City of London. The contract is for the busy period they will be experiencing from January 2019.  Duties:  Liaise with Finance and Actuaries collecting data to complete trust fund reporting which is then reviewed by senior management. Complete first draft of trust funds and solvency 2 tech provisions Work on US trusts funds, collecting data and reporting with excel View to streamline processes and improve spreadsheets Experience with provisions ad economic balance sheet Improve processes in trust fund figures with excel   Key competencies:  Excel Design and building spreadsheets Understanding provisions of Solvency 2 You will have expert experience with Excel and a driven personality to gather different information from different members of teams.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Arthur Financial"	"Arthur Financial"	"JS7286_85298/598778494"	"07/12/2018 15:29:24"	"http://www.jobserve.com/Gl6Mi"	NA
"GI Contract Reserving Actuary"	"£650 per day"	"City of London"	"Permanent"	"GI Contract Reserving Actuary"	"City of London - £650 per day"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"GI Contract Reserving/S2/TP/Balance Sheets/Reporting/US trust funds £650/day 6months "	"City of London, UK"	"Finance"	NA	NA	"£650 per day"	"Eames Consulting"	"Eames Consulting"	"JS7286_85296/599836761"	"08/12/2018 09:09:44"	"http://www.jobserve.com/GmDdT"	NA
"Senior Capital Manager - Annuities - Qualified Actuary"	"GBP"	"London"	"Permanent"	"Senior Capital Manager - Annuities - Qualified Actuary"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Fairbank Partners are currently assisting a high performing FTSE 100 life insurer with their search for a Senior Capital Reporting Manager within their Annuities team.  This will offer the opportunity to lead the team responsible for the delivery of the SII and Economic Capital results for an interesting and rapidly expanding business area.  The opportunity will also include:   - High amount of senior engagement- managing relationships and senior stakeholders across the business, whilst representing the team and presenting results.  - Leading on the development and maintenance of reporting systems and processes for increased efficiency.  - Flexible working is available, typically 1-2 days from home a week. - Providing commentary and analysis on a broad range of additional areas, including investment variance and interest rate exposure.   "	"London, UK"	"Finance"	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_85238/602841750"	"11/12/2018 11:12:15"	"http://www.jobserve.com/GmtgY"	NA
"Pricing Manager"	"GBP"	"Birmingham"	"Permanent"	"Pricing Manager"	"Birmingham - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Actuarial Pricing Manager sought on a permanent basis for a large 100 General Insurer that underwrites a variety of Personal and Commercial Line products. You will be responsible for the Pricing/Optimisation Team and ensuring the premium is properly adjusted in order to meet the needs of the business.Some of the key responsibilities for the Actuarial Pricing Manager include:Managing a team of circa 10 members of staff.Providing input on price optimisation processes to help drive profit and development.Tracking the impacts of alterations made to the premium on demand and conversion rates.Communicating results and ideas to key stakeholders across the company.Essential experience:General Insurance Pricing experienceStrong leadership experienceExcellent stakeholder management experienceDesirable experience:Experience of Customer/Street/Optimisation PricingKnowledge of or experience using Emblem or RadarQualified or Part-Qualified Actuary (or equivalent)Benefits:Highly competitive basic salary28 days holiday20-25% Bonus10% PensionRemote Working/Work From HomeFlex TimeFor further information, please apply below with your CV Sellick Partnership is a market-leading professional services recruitment specialist operating across the UK. Over the years we have built up an enviable relationship with employers and our expert team of consultants boast up-to-date market knowledge and a strong reputation making Sellick Partnership best placed to help you. Sellick Partnership is proud to be an equal opportunities employer. Please note our advertisements use years' experience and salary levels purely as a guide. We are happy to consider applications from all candidates who are able to demonstrate the skills necessary to fulfil the role. For information on how your personal details may be used by Sellick Partnership, please review our data processing notice which can be found in the footer on our website.  "	"Birmingham, UK"	"Finance"	NA	NA	"GBP"	"Sellick Partnership Limited"	"Sellick Partnership Limited"	"JS7286_85328/599836791"	"08/12/2018 07:06:38"	"http://www.jobserve.com/GmCQJ"	NA
"Pricing Analyst"	""	"Gloucester, Gloucestershire"	"Permanent"	"Pricing Analyst"	"Gloucester, Gloucestershire"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Actuarial Pricing Analyst sought to join a top UK General Insurer. Our client is looking for an ambitious professional to join their Pricing department. The Actuarial Pricing Analyst will look to add value to a highly proficient Pricing team and develop alongside them.Key Responsibilities:Look to amend and improve the price optimisation framework.Developing rating models with high veracity and integrity.Contribute to the implementation and maintenance of rating structures and rates for a number of products.Monitoring the impacts of external changes that may affect premiums and developing strategies to respond to them.Desirable experience:Experience of pricing within General Insurance.Actuarial expertise, either through experience or qualifications.Pricing software experience eg Emblem, Radar or SAS.Experience liaising with stakeholders.Benefits:Study Support (if required)15% Bonus10% PensionFlex Time25 Days HolidayFor further information, please apply below with your CV Sellick Partnership is a market-leading professional services recruitment specialist operating across the UK. Over the years we have built up an enviable relationship with employers and our expert team of consultants boast up-to-date market knowledge and a strong reputation making Sellick Partnership best placed to help you. Sellick Partnership is proud to be an equal opportunities employer. Please note our advertisements use years' experience and salary levels purely as a guide. We are happy to consider applications from all candidates who are able to demonstrate the skills necessary to fulfil the role. For information on how your personal details may be used by Sellick Partnership, please review our data processing notice which can be found in the footer on our website.  "	"Gloucester, Gloucestershire, UK"	"Finance"	NA	NA	NA	"Sellick Partnership Limited"	"Sellick Partnership Limited"	"JS7286_85329/599174196"	"07/12/2018 15:20:51"	"http://www.jobserve.com/Gl6Jw"	NA
"Senior Pricing Manager - Life Reinsurance"	"GBP"	"London"	"Permanent"	"Senior Pricing Manager - Life Reinsurance"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Star Actuarial are currently representing a brand new opportunity for a qualified life actuary with knowledge of the reinsurance market to price new and existing insurance business to push profit and growth whilst minimising risk.In this exciting career-development opportunity, you will ensure the pricing process is efficient and robust by recommending and delivering developments to the process as necessary.You will also develop new distribution and new products by providing pricing expertise and any additional actuarial support as required.In addition, you will build and manage relationships with reinsurers, working across all business areas across the Protection business in order to negotiate and implement reinsurance treaties for new and existing business.A detailed understanding of actuarial techniques for pricing long term insurance products is essential, whilst detailed understanding of the Protection business, including underwriting and claims, would be ideal.Prophet & SAS experience would be beneficial."	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5040/593978711"	"11/12/2018 11:12:35"	"http://www.jobserve.com/GmthB"	NA
"Non-life Leader"	"GBP"	"London"	"Permanent"	"Non-life Leader"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Star Actuarial is currently working with a leading consultancy in the search for a qualified non-life actuary with strong project and people management skills to lead client engagement teams, working as part of a multi-disciplinary team. Providing a high-quality advisory service to clients, you will build and maintain strong relationships with both new and existing clients. In addition, you will contribute to high quality thought leadership whilst contributing to the development of new products and services. With strong technical and communication skills, the successful candidate will have the ability to develop productive relationships that bring in business. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_86455/602841748"	"11/12/2018 11:05:36"	"http://www.jobserve.com/Gmtb8"	NA
"Capital Modelling in the Capital"	"GBP"	"London"	"Permanent"	"Capital Modelling in the Capital"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Star Actuarial are currently representing this fantastic opportunity on behalf of a leading London Market firm for a part-qualified or qualified non-life actuary to support model development, alongside the optimisation, scenario testing, checking and analysing of model outputs. In this key role, you will support the delivery of Solvency II/Lloyd's requirements, for example: SCR submission to Lloyd's (underwriting risk, reserve risk, market risk, credit risk etc..); validation; governance; documentation and other reporting. In addition, you will carry out wider analyses or investigations as they may arise, for example stress and scenario testing, ORSA etc. With insurance-related work experience, ideally in capital modelling or a mixed actuarial role, the successful candidate will possess excellent communication and interpersonal skills. Igloo experience an advantage."	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85055/599836870"	"08/12/2018 07:02:54"	"http://www.jobserve.com/GmCNQ"	NA
"Underwriting Expert"	"GBP"	"London"	"Permanent"	"Underwriting Expert"	"London - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Star Actuarial is working with a growing insurance business looking to hire a technical underwriting analyst into their close-knit team. With at least 2 years' experience in a similarly technical role and with prior experience of supporting underwriting processes, you will liaise with teams across the business with a holistic view. Experience of personal lines insurance is an advantage, as is a strong handle of insurance modelling, and software including SQL, Python and R."	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85388/600714786"	"11/12/2018 11:08:00"	"http://www.jobserve.com/GmtdA"	NA
"Underwriting Expert"	""	"United Kingdom"	"Permanent"	"Underwriting Expert"	"United Kingdom"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Star Actuarial is working with a growing insurance business looking to hire a technical underwriting analyst into their close-knit team.With at least 2 years' experience in a similarly technical role and with prior experience of supporting underwriting processes, you will liaise with teams across the business with a holistic view.Experience of personal lines insurance is an advantage, as is a strong handle of insurance modelling, and software including SQL, Python and R.Contact us now to hear more about this fantastic opportunity, offering excellent scope for learning and development."	"United Kingdom"	"Finance"	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5146/593978772"	"07/12/2018 15:59:10"	"http://www.jobserve.com/Gl6Rl"	NA
"Insurance-focused Data Engineer, Star Exclusive"	""	"London"	"Permanent"	"Insurance-focused Data Engineer, Star Exclusive"	"London"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Star Actuarial is working with a highly unique London-based insurance business looking to hire an experienced data engineer. This hands-on role within a small and tight-knit team will provide leadership on data strategy across the business.  You will have the ability to develop and implement data analytics structures and capabilities from scratch. With a culture of continuous refinement and improvement, you will work across a variety of individual areas, each with its own characteristics and drivers. Excellent future growth potential exists, with a view to recruiting a number of data scientists to support data analytics tasks utilising the framework you create. Experience within a similar context is a must, particularly with any knowledge of machine learning techniques and other cutting edge tools that can be creatively deployed to create additive and actionable business insights. A natural collaborator and an individual with a hands-on approach would suit the team well. This is a role for a candidate invested in the long-term, and someone who would want to share and participate in the growing success of this business. Contact us now for more insight into this incredible opportunity."	"London, UK"	"Finance"	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82833/599836900"	"08/12/2018 09:09:20"	"http://www.jobserve.com/GmDdD"	NA
"With-Profits/Part VII Contractor"	"GBP"	"Midlands"	"Contract"	"With-Profits/Part VII Contractor"	"Midlands - GBP"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"Seeking a qualified actuary to assist with the implementation of With-Profit governance changes. You will have experience of working on complex Part VII transfers involving With-Profit business. This is a 6 month contract to start ASAP. "	"Midlands, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82871/598778773"	"12/12/2018 11:38:24"	"http://www.jobserve.com/Gm6CO"	NA
"Coastal Pricing"	"GBP"	"United Kingdom"	"Permanent"	"Coastal Pricing"	"United Kingdom - GBP"	"Permanent"	"Posted: Tuesday, 11 December 2018"	""	"Develop your actuarial career on the South Coast in this exciting and challenging pricing role, helping the business develop through applying your pricing expertise together with an analytical approach.  This position is ideal for an ambitious candidate with an innovative approach, and a track record of delivery across strategic projects, which could include GLMs, analytics, machine learning, and other cutting-edge techniques. Experience of leading and managing teams in a retail environment would be helpful. Strong technical skills with pricing and analytical software, including Earnix and SQL, will also be an advantage.  "	"United Kingdom"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_86397/602153604"	"11/12/2018 13:18:05"	"http://www.jobserve.com/GmuiF"	NA
"Life Insurance Consultancy Opportunities"	"GBP"	"London"	"Permanent"	"Life Insurance Consultancy Opportunities"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client, a leading actuarial consultancy, is seeking part-qualified or qualified life actuaries with strategic business acumen and expert knowledge of risks facing the life insurance industry to support a variety of diverse assignments. The successful candidates will likely gain exposure to a number of workstreams, including risk and capital management, Solvency II, investment strategy and ALM, reinsurance & risk transfer, alongside pricing & product development. With a good grounding in actuarial techniques and strong IT skills, the successful candidates will have a good level knowledge of requirements of Solvency II and high familiarity with the relevant parts of the PRA handbook. These are excellent opportunities to develop your career within a market-leader.  "	"London, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_83916/598778385"	"07/12/2018 16:01:10"	"http://www.jobserve.com/Gl6TQ"	NA
"Life Insurance Consultancy Opportunities"	"GBP"	"Glasgow, Lanarkshire"	"Permanent"	"Life Insurance Consultancy Opportunities"	"Glasgow, Lanarkshire - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client, a leading actuarial consultancy, is seeking part-qualified or qualified life actuaries with strategic business acumen and expert knowledge of risks facing the life insurance industry to support a variety of diverse assignments.The successful candidates will likely gain exposure to a number of workstreams, including risk and capital management, Solvency II, investment strategy and ALM, reinsurance & risk transfer, alongside pricing & product development.With a good grounding in actuarial techniques and strong IT skills, the successful candidates will have a good level knowledge of requirements of Solvency II and high familiarity with the relevant parts of the PRA handbook.These are excellent opportunities to develop your career within a market-leader."	"Glasgow, Lanarkshire, UK"	"Finance"	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4795/593978655"	"07/12/2018 15:58:45"	"http://www.jobserve.com/Gl6RP"	NA
"Life Reporting Contract"	"£1000/day GBP"	"London"	"Contract"	"Life Reporting Contract"	"London - £1000/day GBP"	"Contract"	"Posted: Wednesday, 12 December 2018"	""	"Urgently looking for a Senior Actuarial Life Reporting Contractor with ideally 10years PQE. Heading up the reporting function and he able to stand in front of an audit committee. You will have a team of 30 actuarial reports therefore management experience is a must!£1000/day 9-12 months Eames Consulting is acting as an Employment Business in relation to this vacancy. "	"London, UK"	"Finance"	NA	NA	"£1000/day GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_82637/598779002"	"12/12/2018 11:38:32"	"http://www.jobserve.com/Gm6CY"	"Executive"
