"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"category"	"duration"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"
"GI Contract Reserving Actuary"	"GBP"	"City, London"	"Permanent"	"GI Contract Reserving Actuary"	"City, London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"GI Contract Reserving/S2/TP/Balance Sheets/Reporting/US trust funds £650/day 6months Get in touch for more info Eames Consulting is acting as an Employment Business in relation to this vacancy. "	"City, London, UK"	"Other"	NA	NA	NA	"GBP"	"Eames Consulting"	"Eames Consulting"	"JS7286_85296/599836761"	"08/12/2018 09:09:44"	"http://www.jobserve.com/GmDdT"
"Pricing Manager"	"GBP"	"Birmingham"	"Permanent"	"Pricing Manager"	"Birmingham - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Actuarial Pricing Manager sought on a permanent basis for a large 100 General Insurer that underwrites a variety of Personal and Commercial Line products. You will be responsible for the Pricing/Optimisation Team and ensuring the premium is properly adjusted in order to meet the needs of the business.Some of the key responsibilities for the Actuarial Pricing Manager include:Managing a team of circa 10 members of staff.Providing input on price optimisation processes to help drive profit and development.Tracking the impacts of alterations made to the premium on demand and conversion rates.Communicating results and ideas to key stakeholders across the company.Essential experience:General Insurance Pricing experienceStrong leadership experienceExcellent stakeholder management experienceDesirable experience:Experience of Customer/Street/Optimisation PricingKnowledge of or experience using Emblem or RadarQualified or Part-Qualified Actuary (or equivalent)Benefits:Highly competitive basic salary28 days holiday20-25% Bonus10% PensionRemote Working/Work From HomeFlex TimeFor further information, please apply below with your CV Sellick Partnership is a market-leading professional services recruitment specialist operating across the UK. Over the years we have built up an enviable relationship with employers and our expert team of consultants boast up-to-date market knowledge and a strong reputation making Sellick Partnership best placed to help you. Sellick Partnership is proud to be an equal opportunities employer. Please note our advertisements use years' experience and salary levels purely as a guide. We are happy to consider applications from all candidates who are able to demonstrate the skills necessary to fulfil the role. For information on how your personal details may be used by Sellick Partnership, please review our data processing notice which can be found in the footer on our website.  "	"Birmingham, UK"	"Other"	NA	NA	NA	"GBP"	"Sellick Partnership Limited"	"Sellick Partnership Limited"	"JS7286_85328/599836791"	"08/12/2018 07:06:38"	"http://www.jobserve.com/GmCQJ"
"Pricing Analyst"	"GBP"	"Gloucester, Gloucestershire"	"Permanent"	"Pricing Analyst"	"Gloucester, Gloucestershire - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Actuarial Pricing Analyst sought to join a top UK General Insurer. Our client is looking for an ambitious professional to join their Pricing department. The Actuarial Pricing Analyst will look to add value to a highly proficient Pricing team and develop alongside them.Key Responsibilities:Look to amend and improve the price optimisation framework.Developing rating models with high veracity and integrity.Contribute to the implementation and maintenance of rating structures and rates for a number of products.Monitoring the impacts of external changes that may affect premiums and developing strategies to respond to them.Desirable experience:Experience of pricing within General Insurance.Actuarial expertise, either through experience or qualifications.Pricing software experience eg Emblem, Radar or SAS.Experience liaising with stakeholders.Benefits:Study Support (if required)15% Bonus10% PensionFlex Time25 Days HolidayFor further information, please apply below with your CV Sellick Partnership is a market-leading professional services recruitment specialist operating across the UK. Over the years we have built up an enviable relationship with employers and our expert team of consultants boast up-to-date market knowledge and a strong reputation making Sellick Partnership best placed to help you. Sellick Partnership is proud to be an equal opportunities employer. Please note our advertisements use years' experience and salary levels purely as a guide. We are happy to consider applications from all candidates who are able to demonstrate the skills necessary to fulfil the role. For information on how your personal details may be used by Sellick Partnership, please review our data processing notice which can be found in the footer on our website.  "	"Gloucester, Gloucestershire, UK"	"Other"	NA	NA	NA	"GBP"	"Sellick Partnership Limited"	"Sellick Partnership Limited"	"JS7286_85329/599174196"	"07/12/2018 15:20:51"	"http://www.jobserve.com/Gl6Jw"
"Senior Pricing Manager - Life Reinsurance"	"GBP"	"London"	"Permanent"	"Senior Pricing Manager - Life Reinsurance"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Star Actuarial are currently representing a brand new opportunity for a qualified life actuary with knowledge of the reinsurance market to price new and existing insurance business to push profit and growth whilst minimising risk.In this exciting career-development opportunity, you will ensure the pricing process is efficient and robust by recommending and delivering developments to the process as necessary.You will also develop new distribution and new products by providing pricing expertise and any additional actuarial support as required.In addition, you will build and manage relationships with reinsurers, working across all business areas across the Protection business in order to negotiate and implement reinsurance treaties for new and existing business.A detailed understanding of actuarial techniques for pricing long term insurance products is essential, whilst detailed understanding of the Protection business, including underwriting and claims, would be ideal.Prophet & SAS experience would be beneficial."	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5040/593978711"	"03/12/2018 15:15:00"	"http://www.jobserve.com/GlQZI"
"Non-life Leader"	""	"London"	"Permanent"	"Non-life Leader"	"London"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Star Actuarial is currently working with a leading consultancy in the search for a qualified non-life actuary with strong project and people management skills to lead client engagement teams, working as part of a multi-disciplinary team.Providing a high-quality advisory service to clients, you will build and maintain strong relationships with both new and existing clients.In addition, you will contribute to high quality thought leadership whilst contributing to the development of new products and services.With strong technical and communication skills, the successful candidate will have the ability to develop productive relationships that bring in business."	"London, UK"	"Finance"	NA	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4572/593978620"	"03/12/2018 15:10:52"	"http://www.jobserve.com/GlQWS"
"Capital Modelling in the Capital"	"GBP"	"London"	"Permanent"	"Capital Modelling in the Capital"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Star Actuarial are currently representing this fantastic opportunity on behalf of a leading London Market firm for a part-qualified or qualified non-life actuary to support model development, alongside the optimisation, scenario testing, checking and analysing of model outputs. In this key role, you will support the delivery of Solvency II/Lloyd's requirements, for example: SCR submission to Lloyd's (underwriting risk, reserve risk, market risk, credit risk etc..); validation; governance; documentation and other reporting. In addition, you will carry out wider analyses or investigations as they may arise, for example stress and scenario testing, ORSA etc. With insurance-related work experience, ideally in capital modelling or a mixed actuarial role, the successful candidate will possess excellent communication and interpersonal skills. Igloo experience an advantage. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Paul Cook, Associate Director M:  E:  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85055/599836870"	"08/12/2018 07:02:54"	"http://www.jobserve.com/GmCNQ"
"Underwriting Expert"	"GBP"	"United Kingdom"	"Permanent"	"Underwriting Expert"	"United Kingdom - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Star Actuarial is working with a growing insurance business looking to hire a technical underwriting analyst into their close-knit team.With at least 2 years' experience in a similarly technical role and with prior experience of supporting underwriting processes, you will liaise with teams across the business with a holistic view.Experience of personal lines insurance is an advantage, as is a strong handle of insurance modelling, and software including SQL, Python and R.Contact us now to hear more about this fantastic opportunity, offering excellent scope for learning and development."	"United Kingdom"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5146/593978772"	"07/12/2018 15:59:10"	"http://www.jobserve.com/Gl6Rl"
"Insurance-focused Data Engineer, Star Exclusive"	"GBP"	"London"	"Permanent"	"Insurance-focused Data Engineer, Star Exclusive"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Star Actuarial is working with a highly unique London-based insurance business looking to hire an experienced data engineer. This hands-on role within a small and tight-knit team will provide leadership on data strategy across the business.  You will have the ability to develop and implement data analytics structures and capabilities from scratch. With a culture of continuous refinement and improvement, you will work across a variety of individual areas, each with its own characteristics and drivers. Excellent future growth potential exists, with a view to recruiting a number of data scientists to support data analytics tasks utilising the framework you create. Experience within a similar context is a must, particularly with any knowledge of machine learning techniques and other cutting edge tools that can be creatively deployed to create additive and actionable business insights. A natural collaborator and an individual with a hands-on approach would suit the team well. This is a role for a candidate invested in the long-term, and someone who would want to share and participate in the growing success of this business. Contact us now for more insight into this incredible opportunity. Lance Randles, Partner M: (0)  E:  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82833/599836900"	"08/12/2018 09:09:20"	"http://www.jobserve.com/GmDdD"
"Life Insurance Consultancy Opportunities"	"GBP"	"Glasgow, Lanarkshire"	"Permanent"	"Life Insurance Consultancy Opportunities"	"Glasgow, Lanarkshire - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client, a leading actuarial consultancy, is seeking part-qualified or qualified life actuaries with strategic business acumen and expert knowledge of risks facing the life insurance industry to support a variety of diverse assignments.The successful candidates will likely gain exposure to a number of workstreams, including risk and capital management, Solvency II, investment strategy and ALM, reinsurance & risk transfer, alongside pricing & product development.With a good grounding in actuarial techniques and strong IT skills, the successful candidates will have a good level knowledge of requirements of Solvency II and high familiarity with the relevant parts of the PRA handbook.These are excellent opportunities to develop your career within a market-leader."	"Glasgow, Lanarkshire, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4795/593978655"	"07/12/2018 15:58:45"	"http://www.jobserve.com/Gl6RP"
"Life Insurance Consultancy Opportunities"	"GBP"	"London"	"Permanent"	"Life Insurance Consultancy Opportunities"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client, a leading actuarial consultancy, is seeking part-qualified or qualified life actuaries with strategic business acumen and expert knowledge of risks facing the life insurance industry to support a variety of diverse assignments. The successful candidates will likely gain exposure to a number of workstreams, including risk and capital management, Solvency II, investment strategy and ALM, reinsurance & risk transfer, alongside pricing & product development. With a good grounding in actuarial techniques and strong IT skills, the successful candidates will have a good level knowledge of requirements of Solvency II and high familiarity with the relevant parts of the PRA handbook. These are excellent opportunities to develop your career within a market-leader. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Sarah O'Brien Senior Consultant M: (0) E:  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_83916/598778385"	"07/12/2018 16:01:10"	"http://www.jobserve.com/Gl6TQ"
"Pricing Analytics"	"GBP"	"London"	"Permanent"	"Pricing Analytics"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"*Are there any ACTUARIAL EXAM STOPPERS out there, who want to pursue a more data-driven role?* PRICING ANALYTICS ROLE JUST BEEN RELEASED AT LEADING SYNDICATEWe are looking for a problem-solver to get hands on with data and modelling work to solve business problems through a highly analytical approach. This is for those who don't want to pursue the actuarial qualification any more, who want to veer away from the regulatory/compliance work and get hands on with data. Strong SQL knowledge is a MUST. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"HFG"	"HFG"	"JS7286_83892/598778542"	"06/12/2018 11:18:50"	"http://www.jobserve.com/GlxKI"
"Life Insurance Consultant"	"GBP"	"London"	"Permanent"	"Life Insurance Consultant"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"Leading consultancy is seeking a qualified life actuary to support a wide range of client projects, including financial reporting, being the main day-to-day point of contact and keeping abreast of changes in UK regulatory framework and potential impact. Acting as a role model within the practice, you will identify and implement improvements to processes and procedures used for recurring client projects. With demonstrable knowledge of Solvency II regulations and reporting alongside project management and organisational skills, the successful candidate will ideally possess with-profits management and product development experience. Experience of risk management, such as ORSAs, stress and scenario testing, would also be an advantage. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Clare Roberts, Associate Director M:  E:  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85280/599836936"	"08/12/2018 09:10:05"	"http://www.jobserve.com/GmDdk"
"Non-life Pricing Contractor"	"GBP"	"London"	"Permanent"	"Non-life Pricing Contractor"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Our client is seeking a qualified non-life actuarial contractor to support the launch of several IFRS17-related projects with respect to pricing platform development and portfolio profitability matrices.  We are particularly interesting in qualified candidates with either a property or casualty pricing background and detailed experience of London Market lines. Reinsurance experience would be a distinct advantage. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Jan Sparks FIA, Partner M: (0) E:  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85253/598778293"	"07/12/2018 16:01:08"	"http://www.jobserve.com/Gl6TO"
"Longevity Leader"	"GBP"	"London"	"Permanent"	"Longevity Leader"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Major international reinsurer is seeking a qualified actuary with detailed experience of the pensions industry to take the lead on generating and transacting profitable new longevity business opportunities, overseeing the development of the longevity proposition. Developing and maintaining strong relationship with new and existing clients, you will deliver wider Longevity objectives including the effective management of inforce treaties. With very strong analytical skills and the ability to apply judgement, the successful candidate will possess excellent interpersonal and negotiation skills, alongside an excellent grasp of key financial and longevity drivers for a UK life insurance company and UK pension schemes. Experience working in Life, Health and Disability related fields, alongside life reinsurance, desirable. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf. Jan Sparks FIA, Partner M: (0) E:  "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82742/598778601"	"07/12/2018 15:28:55"	"http://www.jobserve.com/Gl6MR"
"Validate Your Non-life"	"GBP"	"United Kingdom"	"Permanent"	"Validate Your Non-life"	"United Kingdom - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Are you a qualified GI actuary with excellent interpersonal and problem-solving skills? Are you a creative thinker with a passion for model validation and capital model design? Do you have the desire to develop your career within a leading specialty insurer? Then this is the role for you.Joining our client's Risk and Compliance team, you will create an overarching independent model validation framework for the IM, ORSA and SF that is supported by a coherent set of processes.You will also produce independent model validation plans using a risk-based approach to decide on the level and depth of coverage. In addition, you will have the opportunity to contribute to the company's IMAP application through ensuring innovative and robust model validation and model change processes are well Embedded within the company.The successful candidate will possess strong technical experience of capital model design, creation, parameterisation and documentation, alongside experience of SII and ORSA modelling, SII standard formula and IMAP.An excellent opportunity to develop your career within a market-leader."	"United Kingdom"	"Other"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5352/598336187"	"07/12/2018 15:27:45"	"http://www.jobserve.com/Gl6Lk"
"Build on your career with fantastic opportunity to join a Big 4 consul"	"GBP"	"London"	"Permanent"	"Build on your career with fantastic opportunity to join a Big 4 consul"	"London - GBP"	"Permanent"	"Posted: Friday, 7 December 2018"	""	"Fairbank Partners are looking for a Qualified Actuary to join as Senior Manager in a Big Four consultancy  The opportunity: Highly technical work in client-facing role  Lead business development, building up rapport with clients Provide actuarial support to the junior members of the team Join the team during an exciting period of change with new upcoming projects The individual: Qualified Actuary with GI background Strong communication skills Experience in a client facing role is essential  To discuss this role, or to discuss your career, please submit your CV or contact Daisy Hector at Fairbank Partners on . Fairbank Partners has access to a wide range of actuarial jobs and acts as an employment agency. "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"FAIRBANK PARTNERS"	"FAIRBANK PARTNERS"	"JS7286_82531/598778893"	"07/12/2018 15:21:19"	"http://www.jobserve.com/Gl6J8"
"Capital Reporting Manager - Life"	"GBP"	"London"	"Permanent"	"Capital Reporting Manager - Life"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Are you a qualified life actuary with a passion for capital reporting? Do you have a good understanding of asset modelling and investment markets? Would you relish the opportunity to make a difference within a major insurer? Then this is the role for you. In this key position, you will lead our client's Solvency II capital reporting team, providing the delivery and commentary of the Solvency II and economic capital requirements including SII operating variances, interest rate exposure, inflation exposure and FX exposure and overall capital position of the firm. You will also present and disseminate Solvency II reporting results, incorporating specialist supporting analysis and commentary for reporting metrics. In addition, you will provide strategic direction for the team's capital reporting systems, processes and methodologies and take responsibility for reviewing process flows and wastage. Annuities experience would be an advantage. An excellent opportunity to develop your career within a market-leader. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82548/598778801"	"06/12/2018 11:34:53"	"http://www.jobserve.com/GlxPc"
"Capital Manager - Life"	"GBP"	"London"	"Permanent"	"Capital Manager - Life"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Our client is seeking a qualified life actuary (or CFA/accountant) to use existing and innovative techniques to optimise capital and/or reduce balance sheet volatility, as well as develop and support the capital management framework. Working with a range of external stakeholders (eg Investment Banks and Consultants) and internal stakeholders (eg PPMG, Group Actuarial, the Chief Actuary and the Finance, Legal and Risk teams), you will provide business solutions for a range of activities. With proven experience of transactions, preferably those that involve capital management, the successful candidate will have experience of using subject matter expertise to interpret complex recommendations and recommend solutions for business stakeholders. Strong relationship management, influencing and negotiation skills also essential, whilst some experience of reinsurance would be beneficial. An exciting opportunity to develop your career whilst becoming part of a brand with a global reputation and an exciting vision. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_85267/598778258"	"06/12/2018 09:19:07"	"http://www.jobserve.com/Glwgc"
"Head of Risk Pricing - Life"	""	"London"	"Permanent"	"Head of Risk Pricing - Life"	"London"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Major insurer is seeking a qualified life actuary with strong interpersonal skills to develop and deliver experience investigations, assumptions setting and methodology to enable the retail protection business to meet its business goals. In this newly-created role, you will demonstrate your creative analytical thinking by using market insight, internal MI and views gathered from experts in multiple disciplines in Retail Protection to develop an in-depth understanding of Lour client's performance in the UK Protection market. You will also provide thought leadership on, develop and deliver advanced analytical techniques into existing demographic and financial experience investigations and pricing processes. In addition, you will play a key role in the assessment of risk management processes to ensure that they are continually refined and improved. The successful candidate will have the ability to interpret the results of experience investigations, and be able to develop and refine the pricing and reporting assumptions (including calibrations for the internal model). An excellent career-development opportunity. Please contact us to discuss this vacancy or for an informal discussion regarding your career goals. We are very happy to perform bespoke research on your behalf."	"London, UK"	"Finance"	NA	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82582/598778315"	"06/12/2018 09:15:53"	"http://www.jobserve.com/Glwdm"
"GI Pricing Analyst"	"GBP"	"United Kingdom"	"Permanent"	"GI Pricing Analyst"	"United Kingdom - GBP"	"Permanent"	"Posted: Wednesday, 5 December 2018"	""	"Major insurer is seeking a part-qualified non-life actuary to join their team as a pricing analyst where you will play a key role in helping to develop new pricing approaches for the Commercial Lines business.You'll help develop and exploit new data sources, undertake pricing reviews and embed new portfolio monitoring capabilities.In addition, you'll play a lead role in identifying emerging trends, testing pricing strategies and improving the way our client works, taking responsibility for providing training and direction to analysts within the team.Proven professional experience using data analysis tools including Excel/VBA & SAS (Enterprise Guide and/or Base) is required.Experience of pricing tools such as Emblem and Radar Base is an advantage.Contact us now for more information."	"United Kingdom"	"Consulting"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5147/593978775"	"05/12/2018 16:58:25"	"http://www.jobserve.com/GlpYq"
"Non-life Pricing Contractor"	"GBP"	"London"	"Permanent"	"Non-life Pricing Contractor"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Our client is seeking a qualified non-life actuarial contractor to support the launch of several IFRS17-related projects with respect to pricing platform development and portfolio profitability matrices. We are particularly interesting in qualified candidates with either a property or casualty pricing background and detailed experience of London Market lines.Reinsurance experience would be a distinct advantage."	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5204/593978827"	"03/12/2018 18:12:28"	"http://www.jobserve.com/GlSlX"
"Senior GI Pricing Analyst"	""	"Leeds"	"Permanent"	"Senior GI Pricing Analyst"	"Leeds"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Major insurer is seeking a part-qualified non-life actuary to provide analytical support and insight to inform and influence business decisions and pricing strategy.In this diverse role, you'll be responsible for delivering benefits using a range of analytical techniques such as price optimisation for renewals.You will also deliver innovative projects to improve capability as well as tactical changes to manage business performance for both new business and renewals.Knowledge of SAS, EMBlem and/or optimisation software is an advantage."	"Leeds, UK"	"Finance, Consulting"	NA	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5056/593978719"	"03/12/2018 16:29:34"	"http://www.jobserve.com/GlRW5"
"Life Insurance Consultant"	"GBP"	"London"	"Permanent"	"Life Insurance Consultant"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Leading consultancy is seeking a qualified life actuary to support a wide range of client projects, including financial reporting, being the main day-to-day point of contact and keeping abreast of changes in UK regulatory framework and potential impact.Acting as a role model within the practice, you will identify and implement improvements to processes and procedures used for recurring client projects.With demonstrable knowledge of Solvency II regulations and reporting alongside project management and organisational skills, the successful candidate will ideally possess with-profits management and product development experience.Experience of risk management, such as ORSAs, stress and scenario testing, would also be an advantage."	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5066/593978723"	"03/12/2018 14:19:29"	"http://www.jobserve.com/GlP0k"
"Senior Technical Pricing Analyst - Non-life"	""	"United Kingdom"	"Permanent"	"Senior Technical Pricing Analyst - Non-life"	"United Kingdom"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Major insurer is seeking a part-qualified GI actuary to undertake analyses and support projects that improve the understanding of claims and fees cost drivers across Lines of Business, thereby informing appropriate changes to quoted prices and account profitability assessments.In this key role, you will contribute to the development of appropriate management information systems for pricing.You will also contribute to the specification, development and testing cycles for deployment of rates whilst considering the impact on customers of pricing actions, acting to avoid any unfair treatment.In addition, you will provide technical underwriting and pricing guidance to assist the business in achieving its plans and in support of operational areas.With a detailed understanding of appropriate statistical techniques for insurance risk analysis and demand pricing, the successful candidate will possess familiarity with personal lines products and financial processes.Experience in the use of statistics tools like R, SAS, Emblem or similar also required. Experience in the use of Python desirable."	"United Kingdom"	"Finance"	NA	NA	NA	NA	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4769/593978651"	"03/12/2018 14:14:14"	"http://www.jobserve.com/GlPwr"
"Head of Reserving"	"GBP"	"London"	"Permanent"	"Head of Reserving"	"London - GBP"	"Permanent"	"Posted: Saturday, 8 December 2018"	""	"This client is searching for a senior Actuary for nine months to cover their Head of Reserving. This candidate should have a strong reserving background and be comfortable defending the reserves to Non Actuaries both internally and externally. Strong communication skills are vital. "	"London, UK"	"Other"	NA	NA	NA	"GBP"	"HFG"	"HFG"	"JS7286_83965/599836882"	"08/12/2018 09:09:19"	"http://www.jobserve.com/GmDdC"
"Capital & Reserving Senior Analyst"	"GBP"	"London"	"Permanent"	"Capital & Reserving Senior Analyst"	"London - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Our client is seeking a part-qualified non-life actuary to assist in the development, maintenance, calibration and embedding of risk-adjusted financial models, and provision of a second line of defence on all P&C risk activities. In this varied and interesting role, you will gain exposure to Internal Model work across personal and commercial lines, take the lead on second line review work from an insurance risk perspective, and provide opinion on reserve recommendations. You will also support Senior Managers in the preparation and presentation of results of Capital and Reserving exercises to senior stakeholders. You will likely be a part-qualified actuary with experience across insurance risk, capital or reserving. Working knowledge of Remetrica or ResQ would be advantageous, though is not essential. As well as your technical experience, you will demonstrate strong stakeholder management, excellent written and verbal communication skills, and a proven ability to work accurately under pressure. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_83976/598778845"	"06/12/2018 11:26:20"	"http://www.jobserve.com/GlxOD"
"Non-life Pricing Analyst"	"GBP"	"Midlands"	"Permanent"	"Non-life Pricing Analyst"	"Midlands - GBP"	"Permanent"	"Posted: Thursday, 6 December 2018"	""	"Major general insurer is seeking a part-qualified GI actuary to support various elements of insurance pricing, conducting complex pricing analyses, for example, root cause, predictiveness and performance testing. Extracting, checking, cleaning and analysing data for use in the pricing models, you will report outcomes of the analyses to enable continuous improvement of data and models. You will also refine and operate models and reporting results to enable the team to make business decisions whilst developing rating logic to ensure effective pricing outcomes. In addition, you will carry out quality control processes and checks on pricing models and data to ensure they deliver the outputs required. With strong analytical and problem-solving skills, the successful candidate will possess experience of pricing general insurance products. SQL, EMBLEM or RADAR skills also required. An exciting career-development opportunity.  "	"Midlands, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JS7286_82591/598778332"	"06/12/2018 09:19:00"	"http://www.jobserve.com/GlwgV"
"Head of Reserving"	"GBP"	"London"	"Permanent"	"Head of Reserving"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"This client is searching for a senior Actuary for nine months to cover their Head of Reserving. This candidate should have a strong reserving background and be comfortable defending the reserves to Non Actuaries both internally and externally. Strong communication skills are vital. "	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"HFG"	"HFG"	"JS7286_83965/594974300"	"03/12/2018 16:36:08"	"http://www.jobserve.com/GlRcK"
"Non-life Pricing Analyst"	"GBP"	"Midlands"	"Permanent"	"Non-life Pricing Analyst"	"Midlands - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Major general insurer is seeking a part-qualified GI actuary to support various elements of insurance pricing, conducting complex pricing analyses, for example, root cause, predictiveness and performance testing.Extracting, checking, cleaning and analysing data for use in the pricing models, you will report outcomes of the analyses to enable continuous improvement of data and models.You will also refine and operate models and reporting results to enable the team to make business decisions whilst developing rating logic to ensure effective pricing outcomes.In addition, you will carry out quality control processes and checks on pricing models and data to ensure they deliver the outputs required.With strong analytical and problem-solving skills, the successful candidate will possess experience of pricing general insurance products.SQL, EMBLEM or RADAR skills also required.An exciting career-development opportunity."	"Midlands, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4918/593978680"	"03/12/2018 15:16:22"	"http://www.jobserve.com/GlQaY"
"Non-Life Pricing Analyst"	"GBP"	"United Kingdom"	"Permanent"	"Non-Life Pricing Analyst"	"United Kingdom - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"An ideal role for an actuarial student looking for a long-term move into a pricing-focused role on their path to Fellowship.You will receive valuable mentorship from more senior actuaries in the team, whilst being offered excellent exposure to the growing business.Any experience within personal lines will be useful, whilst a good grasp of SQL and Excel is a must. Experience with Emblem and Radar will be helpful too."	"United Kingdom"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR5248/593978883"	"03/12/2018 15:13:59"	"http://www.jobserve.com/GlQYg"
"Life Consultant - London"	"GBP"	"London"	"Permanent"	"Life Consultant - London"	"London - GBP"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Leading consultancy has an unrivalled opportunity for a part-qualified life actuary to apply their skills in projects reaching beyond traditional actuarial boundaries.Providing support for a wide variety of assignments, you will be exposed to workstreams as diverse as: Solvency II, Finance Transformation, Mergers & Acquisitions, Capital Management, Reserving, Actuarial modelling, Embedded value, Audit and IFRS. In this client-facing role, you will also a ctively contribute to a wide range of client projects of a technical actuarial nature whilst also contributing to practice management.Good knowledge of the life industry alongside the ability to apply your knowledge in practical and commercial situations is essential. An exciting opportunity to develop your career by providing support for cutting edge actuarial work in a strategic, consulting and transactional context."	"London, UK"	"Finance"	NA	NA	NA	"GBP"	"Star Actuarial Futures"	"Star Actuarial Futures"	"JSSTAR4727/593978647"	"03/12/2018 14:14:13"	"http://www.jobserve.com/GlPwp"
